####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-11 13:21:02
## Sample: 1822
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
AC006539.2,pass,195,71,2.75,70,2.79,5.63
AC006547.1,pass,21,6,3.5,6,3.5,16.0
AC006547.2,low_depth,3,3,1.0,3,1.0,0.0
AC006547.3,low_depth,2,2,1.0,2,1.0,0.0
AC006548.2,low_depth,1,1,1.0,1,1.0,0.0
AC006548.3,pass,14,7,2.0,7,2.0,8.0
AC006557.1,low_depth,2,2,1.0,2,1.0,0.0
AC006557.5,pass,858,206,4.17,194,4.42,5.68
AC006566.1,pass,14,2,7.0,2,7.0,13.0
AC006581.2,low_depth,1,1,1.0,1,1.0,0.0
AC006600.1,low_depth,2,2,1.0,2,1.0,0.0
AC006600.2,pass,27,18,1.5,17,1.59,6.0
AC006840.1,low_depth,1,1,1.0,1,1.0,0.0
AC006924.1,low_depth,5,5,1.0,5,1.0,0.0
AC006927.1,pass,998,431,2.32,420,2.38,4.18
AC006927.2,pass,145,91,1.59,90,1.61,7.88
AC006927.3,low_depth,10,10,1.0,10,1.0,0.0
AC006927.4,pass,1916,489,3.92,459,4.17,8.88
AC006927.5,low_depth,215,213,1.01,213,1.01,2.0
AC006942.1,low_depth,3,3,1.0,3,1.0,0.0
AC006946.1,pass,36016,7318,4.92,6754,5.33,9.28
AC006946.2,low_depth,8,8,1.0,8,1.0,0.0
AC006960.1,low_depth,75,71,1.06,71,1.06,2.0
AC006965.1,pass,44,16,2.75,14,3.14,4.75
AC006967.1,low_depth,2,2,1.0,2,1.0,0.0
AC006967.2,low_depth,1,1,1.0,1,1.0,0.0
AC006967.3,low_depth,1,1,1.0,1,1.0,0.0
AC006970.1,low_depth,131,114,1.15,114,1.15,2.55
AC006970.2,low_depth,38,35,1.09,35,1.09,2.0
AC006970.3,pass,9,4,2.25,4,2.25,6.0
AC006971.1,pass,408,125,3.26,117,3.49,7.06
AC006974.1,low_depth,3,3,1.0,3,1.0,0.0
AC006978.1,pass,456,118,3.86,109,4.18,7.43
AC006987.1,low_depth,1,1,1.0,1,1.0,0.0
AC006987.2,low_depth,1,1,1.0,1,1.0,0.0
AC006987.4,low_depth,1,1,1.0,1,1.0,0.0
AC006994.1,pass,374,114,3.28,111,3.37,7.58
AC006994.2,low_depth,6,4,1.5,4,1.5,3.0
AC007000.1,pass,37,23,1.61,21,1.76,5.0
AC007000.2,low_depth,5,4,1.25,4,1.25,2.0
AC007001.1,low_depth,5,5,1.0,5,1.0,0.0
AC007012.2,low_depth,3,3,1.0,3,1.0,0.0
AC007014.2,pass,23,7,3.29,7,3.29,6.33
AC007016.1,pass,38945,12082,3.22,11473,3.39,5.42
AC007029.1,pass,30,8,3.75,8,3.75,4.67
AC007032.1,pass,33,5,6.6,5,6.6,8.0
AC007036.1,low_depth,2,2,1.0,2,1.0,0.0
AC007036.2,low_depth,10,5,2.0,5,2.0,3.5
AC007038.1,low_depth,1,1,1.0,1,1.0,0.0
AC007038.2,pass,42,14,3.0,14,3.0,10.33
AC007040.2,low_depth,9,8,1.12,8,1.12,2.0
