####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-01-25 22:48:00
## Sample: 7271
## Reference: index_star_CHR_mouse.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
0610005C13Rik,low_depth,3,3,1.0,3,1.0,0.0
0610006L08Rik,pass,20,4,5.0,3,6.67,9.5
0610009B22Rik,pass,4428,762,5.81,678,6.53,7.7
0610009E02Rik,pass,57,13,4.38,12,4.75,7.43
0610009L18Rik,pass,69,9,7.67,9,7.67,11.0
0610010F05Rik,pass,2387,455,5.25,404,5.91,7.52
0610010K14Rik,low_depth,3,1,3.0,1,3.0,3.0
0610012D04Rik,low_depth,5,3,1.67,3,1.67,3.0
0610012G03Rik,pass,1167,266,4.39,238,4.9,6.66
0610030E20Rik,pass,1018,216,4.71,196,5.19,7.09
0610033M10Rik,low_depth,1,1,1.0,1,1.0,0.0
0610037L13Rik,pass,1219,223,5.47,212,5.75,7.29
0610038B21Rik,pass,164,32,5.12,31,5.29,6.32
0610039K10Rik,pass,29,6,4.83,6,4.83,6.75
0610040B10Rik,pass,54,13,4.15,12,4.5,5.2
0610040J01Rik,pass,191,45,4.24,40,4.78,6.03
0610043K17Rik,pass,43,12,3.58,11,3.91,5.0
1010001N08Rik,low_depth,13,6,2.17,5,2.6,3.67
1110002E22Rik,pass,12,6,2.0,6,2.0,4.0
1110002J07Rik,pass,20,7,2.86,7,2.86,7.5
1110002L01Rik,pass,174,36,4.83,31,5.61,7.5
1110004F10Rik,pass,4640,1256,3.69,1164,3.99,5.75
1110006O24Rik,pass,41,11,3.73,11,3.73,5.29
1110008L16Rik,pass,251,71,3.54,64,3.92,6.5
1110008P14Rik,pass,1483,237,6.26,209,7.1,9.22
1110012L19Rik,pass,170,36,4.72,30,5.67,8.0
1110013H19Rik,low_depth,3,3,1.0,3,1.0,0.0
1110017D15Rik,pass,26,6,4.33,5,5.2,6.25
1110019D14Rik,pass,122,25,4.88,22,5.55,7.67
1110020A21Rik,pass,69,14,4.93,14,4.93,6.0
1110025M09Rik,pass,181,26,6.96,25,7.24,8.43
1110032A03Rik,pass,2057,411,5.0,361,5.7,7.14
1110035H17Rik,low_depth,3,3,1.0,3,1.0,0.0
1110038B12Rik,pass,3281,610,5.38,543,6.04,7.84
1110038F14Rik,pass,481,96,5.01,89,5.4,7.32
1110046J04Rik,pass,91,18,5.06,17,5.35,7.73
1110051M20Rik,pass,498,93,5.35,85,5.86,7.16
1110057P08Rik,low_depth,1,1,1.0,1,1.0,0.0
1110059E24Rik,pass,2386,481,4.96,446,5.35,7.49
1110059G10Rik,pass,2771,603,4.6,542,5.11,6.64
1110065P20Rik,pass,898,163,5.51,150,5.99,7.8
1190001M18Rik,pass,6,2,3.0,1,6.0,6.0
1190002N15Rik,pass,1661,362,4.59,326,5.1,7.21
1190005I06Rik,pass,21,3,7.0,3,7.0,10.0
1190007I07Rik,pass,255,52,4.9,40,6.38,7.72
1200007C13Rik,pass,27,8,3.38,7,3.86,5.0
1300002E11Rik,pass,549,111,4.95,98,5.6,7.44
1300014J16Rik,low_depth,1,1,1.0,1,1.0,0.0
1300017J02Rik,low_depth,7,6,1.17,6,1.17,2.0
1500002C15Rik,pass,61,9,6.78,9,6.78,9.67
1500002F19Rik,pass,38,14,2.71,12,3.17,7.5
1500004A13Rik,pass,76,21,3.62,19,4.0,6.7
1500009C09Rik,pass,75,10,7.5,10,7.5,11.83
1500009L16Rik,pass,1157,233,4.97,213,5.43,7.51
1500011B03Rik,pass,2517,466,5.4,413,6.09,7.32
1500011K16Rik,pass,1664,324,5.14,282,5.9,7.34
1500015A07Rik,pass,247,44,5.61,40,6.18,7.9
1500015O10Rik,pass,6612,1273,5.19,1138,5.81,7.88
1500026H17Rik,pass,6,2,3.0,2,3.0,5.0
1600002K03Rik,pass,340,68,5.0,60,5.67,8.18
1600010M07Rik,pass,140,19,7.37,19,7.37,8.56
1600012H06Rik,pass,4745,1151,4.12,1067,4.45,5.8
1600014C10Rik,pass,3036,582,5.22,530,5.73,7.26
1600017P15Rik,pass,8,1,8.0,1,8.0,8.0
1600019K03Rik,low_depth,1,1,1.0,1,1.0,0.0
1600020E01Rik,pass,598,128,4.67,114,5.25,7.45
1600023N17Rik,pass,4,1,4.0,1,4.0,4.0
1600027J07Rik,low_depth,1,1,1.0,1,1.0,0.0
1600029O15Rik,pass,69,47,1.47,47,1.47,4.14
1700001C19Rik,low_depth,2,2,1.0,2,1.0,0.0
1700001G17Rik,low_depth,1,1,1.0,1,1.0,0.0
1700001J11Rik,pass,10,1,10.0,1,10.0,10.0
1700001L05Rik,pass,56,15,3.73,13,4.31,5.78
1700001L19Rik,low_depth,1,1,1.0,1,1.0,0.0
1700001O22Rik,pass,9,3,3.0,3,3.0,7.0
1700003C15Rik,low_depth,1,1,1.0,1,1.0,0.0
1700003D09Rik,pass,4,1,4.0,1,4.0,4.0
1700003G18Rik,low_depth,2,2,1.0,2,1.0,0.0
1700003I16Rik,pass,9,3,3.0,3,3.0,4.0
1700003L19Rik,low_depth,1,1,1.0,1,1.0,0.0
1700006A11Rik,low_depth,1,1,1.0,1,1.0,0.0
1700006J14Rik,pass,11,4,2.75,4,2.75,4.5
1700007J10Rik,pass,7,4,1.75,4,1.75,4.0
1700007K13Rik,pass,10,2,5.0,2,5.0,9.0
1700007L15Rik,pass,84,16,5.25,10,8.4,8.4
1700008B11Rik,low_depth,1,1,1.0,1,1.0,0.0
1700008C04Rik,low_depth,1,1,1.0,1,1.0,0.0
1700008J07Rik,pass,369,59,6.25,52,7.1,8.37
1700009C05Rik,low_depth,1,1,1.0,1,1.0,0.0
1700009N14Rik,low_depth,3,1,3.0,1,3.0,3.0
1700010B13Rik,low_depth,1,1,1.0,1,1.0,0.0
1700010H22Rik,low_depth,7,4,1.75,3,2.33,2.33
1700010I14Rik,pass,27,7,3.86,7,3.86,6.0
1700010K23Rik,pass,12,1,12.0,1,12.0,12.0
1700010L04Rik,pass,9,1,9.0,1,9.0,9.0
1700011L03Rik,low_depth,3,1,3.0,1,3.0,3.0
1700012B07Rik,pass,8,2,4.0,2,4.0,7.0
1700012B09Rik,pass,9,2,4.5,2,4.5,8.0
