####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-25 04:29:13
## Sample: 1822
## Reference: index_star_CHR_mouse.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
0610005C13Rik,pass,13,6,2.17,6,2.17,8.0
0610006L08Rik,low_depth,1,1,1.0,1,1.0,0.0
0610009B22Rik,pass,8825,1473,5.99,1293,6.83,8.92
0610009E02Rik,pass,195,47,4.15,43,4.53,8.6
0610009L18Rik,pass,814,185,4.4,173,4.71,6.57
0610010F05Rik,pass,8558,1475,5.8,1323,6.47,9.52
0610010K14Rik,pass,57,22,2.59,22,2.59,8.0
0610012D04Rik,pass,141,27,5.22,25,5.64,9.29
0610012G03Rik,pass,44134,6365,6.93,5430,8.13,11.56
0610025J13Rik,pass,11,2,5.5,2,5.5,10.0
0610030E20Rik,pass,7537,1712,4.4,1568,4.81,7.26
0610031O16Rik,low_depth,3,3,1.0,3,1.0,0.0
0610037L13Rik,pass,8420,1815,4.64,1673,5.03,7.74
0610038B21Rik,pass,1713,335,5.11,307,5.58,10.19
0610039K10Rik,pass,121,40,3.02,35,3.46,8.17
0610040B10Rik,pass,621,120,5.18,113,5.5,8.15
0610040F04Rik,pass,84,28,3.0,28,3.0,6.09
0610040J01Rik,pass,923,192,4.81,178,5.19,7.48
0610043K17Rik,pass,131,23,5.7,19,6.89,9.0
1010001B22Rik,low_depth,15,6,2.5,6,2.5,3.25
1010001N08Rik,pass,14,7,2.0,7,2.0,4.5
1100001I12Rik,low_depth,1,1,1.0,1,1.0,0.0
1110002E22Rik,pass,65,37,1.76,37,1.76,5.0
1110002J07Rik,pass,273,67,4.07,64,4.27,6.5
1110002L01Rik,pass,1712,351,4.88,319,5.37,7.39
1110003F10Rik,pass,117,25,4.68,24,4.88,6.81
1110004F10Rik,pass,28291,5892,4.8,5371,5.27,7.09
1110006O24Rik,pass,428,93,4.6,82,5.22,8.06
1110008E08Rik,low_depth,2,2,1.0,2,1.0,0.0
1110008L16Rik,pass,1283,328,3.91,312,4.11,7.26
1110008P14Rik,pass,10502,2489,4.22,2307,4.55,7.64
1110012L19Rik,pass,2944,468,6.29,406,7.25,10.54
1110013H19Rik,pass,286,53,5.4,51,5.61,7.18
1110017D15Rik,pass,150,21,7.14,19,7.89,11.92
1110018N20Rik,pass,22,5,4.4,5,4.4,6.67
1110019B22Rik,pass,27,6,4.5,5,5.4,8.33
1110019D14Rik,pass,708,160,4.42,153,4.63,6.97
1110020A21Rik,pass,380,80,4.75,76,5.0,7.2
1110025M09Rik,pass,1123,260,4.32,240,4.68,7.26
1110028F11Rik,low_depth,5,5,1.0,5,1.0,0.0
1110028F18Rik,pass,341,61,5.59,56,6.09,8.7
1110032A03Rik,pass,5584,966,5.78,872,6.4,9.61
1110032F04Rik,pass,75,18,4.17,18,4.17,7.33
1110035H17Rik,pass,553,114,4.85,98,5.64,8.98
1110036E04Rik,pass,14,3,4.67,3,4.67,6.5
1110038B12Rik,pass,14688,3064,4.79,2837,5.18,7.98
1110038F14Rik,pass,6000,1087,5.52,973,6.17,9.25
1110046J04Rik,pass,667,135,4.94,118,5.65,8.42
1110051M20Rik,pass,2713,481,5.64,447,6.07,9.55
1110059E24Rik,pass,5295,1219,4.34,1124,4.71,7.35
1110059G10Rik,pass,10698,1905,5.62,1709,6.26,8.72
1110065P20Rik,pass,10068,1670,6.03,1465,6.87,9.82
1190001M18Rik,pass,26,6,4.33,5,5.2,6.25
1190002N15Rik,pass,5103,1035,4.93,964,5.29,8.51
1190005I06Rik,pass,48,13,3.69,12,4.0,6.14
