####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-02-15 05:19:35
## Sample: 7273
## Reference: index_star_CHR_mouse.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
0610005C13Rik,low_depth,3,3,1.0,3,1.0,0.0
0610006L08Rik,low_depth,6,5,1.2,5,1.2,2.0
0610009B22Rik,pass,4547,1150,3.95,1098,4.14,5.38
0610009E02Rik,pass,122,30,4.07,28,4.36,6.53
0610009L18Rik,pass,181,72,2.51,71,2.55,4.33
0610010F05Rik,pass,4157,1062,3.91,1006,4.13,5.32
0610010K14Rik,pass,17,10,1.7,10,1.7,4.5
0610012D04Rik,pass,36,9,4.0,8,4.5,5.0
0610012G03Rik,pass,18074,4379,4.13,4141,4.36,5.35
0610025J13Rik,low_depth,18,6,3.0,5,3.6,3.6
0610030E20Rik,pass,2117,627,3.38,599,3.53,4.99
0610031O16Rik,low_depth,1,1,1.0,1,1.0,0.0
0610033M10Rik,low_depth,6,6,1.0,6,1.0,0.0
0610037L13Rik,pass,4195,1176,3.57,1121,3.74,5.16
0610038B21Rik,pass,2063,450,4.58,425,4.85,5.8
0610039K10Rik,pass,33,12,2.75,11,3.0,4.67
0610040B10Rik,pass,183,55,3.33,50,3.66,4.41
0610040F04Rik,pass,24,7,3.43,7,3.43,4.4
0610040J01Rik,pass,140,37,3.78,37,3.78,5.68
0610043K17Rik,pass,66,20,3.3,20,3.3,4.29
1010001B22Rik,pass,6,2,3.0,2,3.0,5.0
1010001N08Rik,low_depth,13,5,2.6,5,2.6,3.67
1100001I12Rik,low_depth,14,9,1.56,9,1.56,2.67
1110002E22Rik,low_depth,32,30,1.07,30,1.07,2.0
1110002J07Rik,pass,51,14,3.64,13,3.92,5.22
1110002L01Rik,pass,685,179,3.83,172,3.98,5.04
1110002O04Rik,pass,11,3,3.67,3,3.67,5.0
1110003F10Rik,pass,29,11,2.64,10,2.9,4.17
1110004F10Rik,pass,15075,4899,3.08,4717,3.2,4.52
1110006O24Rik,pass,125,31,4.03,30,4.17,6.28
1110008E08Rik,low_depth,4,2,2.0,2,2.0,3.0
1110008L16Rik,low_depth,905,441,2.05,431,2.1,3.91
1110008P14Rik,pass,1853,533,3.48,507,3.65,4.97
1110012L19Rik,pass,1534,376,4.08,355,4.32,5.17
1110013H19Rik,low_depth,66,21,3.14,20,3.3,3.71
1110015O18Rik,low_depth,1,1,1.0,1,1.0,0.0
1110017D15Rik,pass,222,79,2.81,76,2.92,4.32
1110018N20Rik,low_depth,8,7,1.14,7,1.14,2.0
1110019D14Rik,pass,353,96,3.68,89,3.97,4.94
1110020A21Rik,pass,108,31,3.48,30,3.6,4.9
1110025M09Rik,pass,288,72,4.0,67,4.3,5.25
1110028F11Rik,low_depth,4,2,2.0,2,2.0,3.0
1110028F18Rik,pass,55,15,3.67,15,3.67,4.64
1110032A03Rik,pass,3275,826,3.96,779,4.2,5.43
1110032F04Rik,pass,8,4,2.0,4,2.0,5.0
1110035H17Rik,pass,181,69,2.62,63,2.87,5.07
1110036E04Rik,pass,529,168,3.15,159,3.33,4.11
1110038B12Rik,pass,7296,1931,3.78,1834,3.98,5.24
1110038F14Rik,pass,2676,645,4.15,606,4.42,5.63
1110046J04Rik,pass,555,140,3.96,137,4.05,5.4
1110051M20Rik,pass,1880,464,4.05,437,4.3,5.37
1110059E24Rik,pass,3625,998,3.63,941,3.85,5.11
1110059G10Rik,pass,8550,2311,3.7,2192,3.9,5.15
1110060G06Rik,low_depth,1,1,1.0,1,1.0,0.0
1110065P20Rik,pass,4661,1350,3.45,1299,3.59,4.67
1190001M18Rik,pass,12,4,3.0,4,3.0,9.0
1190002N15Rik,pass,3124,866,3.61,823,3.8,5.12
1190005I06Rik,pass,11,4,2.75,4,2.75,8.0
1190007I07Rik,pass,910,254,3.58,242,3.76,5.23
1200007C13Rik,pass,109,40,2.72,36,3.03,5.29
1300002E11Rik,pass,504,136,3.71,132,3.82,5.43
1300014J16Rik,low_depth,81,71,1.14,71,1.14,3.5
1300017J02Rik,low_depth,30,15,2.0,15,2.0,3.5
1500002C15Rik,pass,135,28,4.82,27,5.0,8.2
1500002F19Rik,low_depth,813,608,1.34,606,1.34,3.49
1500004A13Rik,pass,126,46,2.74,45,2.8,4.68
1500005C15Rik,pass,10,5,2.0,4,2.5,4.0
1500009C09Rik,low_depth,25,12,2.08,12,2.08,3.17
1500009L16Rik,pass,1835,515,3.56,494,3.71,4.99
1500011B03Rik,pass,4169,1043,4.0,978,4.26,5.38
1500011K16Rik,pass,5294,1582,3.35,1518,3.49,4.79
1500012K07Rik,low_depth,1,1,1.0,1,1.0,0.0
1500015A07Rik,pass,378,107,3.53,101,3.74,4.74
1500015L24Rik,low_depth,3,3,1.0,3,1.0,0.0
1500015O10Rik,pass,4893,1394,3.51,1335,3.67,4.93
1500026H17Rik,pass,153,40,3.82,35,4.37,5.72
1520401A03Rik,pass,31,13,2.38,12,2.58,4.8
1600002K03Rik,pass,1539,447,3.44,422,3.65,4.89
1600010M07Rik,pass,152,53,2.87,52,2.92,4.45
1600012H06Rik,pass,4597,1407,3.27,1353,3.4,4.67
1600012P17Rik,low_depth,2,2,1.0,2,1.0,0.0
1600014C10Rik,pass,4972,1325,3.75,1267,3.92,5.08
1600014C23Rik,pass,21,7,3.0,6,3.5,6.0
1600015I10Rik,low_depth,1,1,1.0,1,1.0,0.0
1600017P15Rik,pass,10,5,2.0,4,2.5,7.0
1600019K03Rik,pass,32,16,2.0,15,2.13,6.67
1600020E01Rik,pass,1232,303,4.07,292,4.22,5.7
1600023N17Rik,pass,6,3,2.0,3,2.0,4.0
1600025M17Rik,low_depth,2,2,1.0,2,1.0,0.0
1600027J07Rik,low_depth,4,4,1.0,4,1.0,0.0
1600029O15Rik,low_depth,485,364,1.33,362,1.34,2.92
1700001C02Rik,pass,6,2,3.0,2,3.0,5.0
1700001C19Rik,low_depth,8,3,2.67,3,2.67,3.5
1700001G01Rik,low_depth,4,3,1.33,3,1.33,2.0
1700001G11Rik,low_depth,83,27,3.07,27,3.07,3.8
1700001G17Rik,pass,6,2,3.0,2,3.0,5.0
1700001J03Rik,low_depth,2,2,1.0,2,1.0,0.0
1700001J11Rik,pass,176,62,2.84,62,2.84,4.56
1700001L05Rik,pass,189,61,3.1,58,3.26,4.85
1700001L19Rik,low_depth,11,8,1.38,8,1.38,2.5
1700001O22Rik,pass,85,25,3.4,23,3.7,5.13
1700001P01Rik,pass,30,12,2.5,11,2.73,4.17
1700003C15Rik,low_depth,2,2,1.0,2,1.0,0.0
1700003D09Rik,pass,14,7,2.0,7,2.0,4.5
1700003E16Rik,pass,32,5,6.4,5,6.4,6.4
1700003F12Rik,pass,23,8,2.88,8,2.88,4.0
1700003G13Rik,pass,8,2,4.0,2,4.0,4.0
1700003G18Rik,pass,22,8,2.75,8,2.75,4.5
1700003L19Rik,low_depth,1,1,1.0,1,1.0,0.0
1700003M07Rik,pass,19,5,3.8,5,3.8,4.5
1700003N22Rik,pass,16,5,3.2,5,3.2,4.67
1700003P14Rik,low_depth,4,4,1.0,4,1.0,0.0
1700006A11Rik,low_depth,9,8,1.12,8,1.12,2.0
1700006F04Rik,low_depth,7,7,1.0,7,1.0,0.0
1700006J14Rik,pass,57,19,3.0,19,3.0,4.17
1700006P03Rik,low_depth,4,4,1.0,4,1.0,0.0
1700007E05Rik,low_depth,1,1,1.0,1,1.0,0.0
1700007F19Rik,low_depth,1,1,1.0,1,1.0,0.0
1700007J10Rik,low_depth,3,3,1.0,3,1.0,0.0
1700007K13Rik,pass,26,9,2.89,8,3.25,4.6
1700007L15Rik,pass,75,26,2.88,25,3.0,5.55
1700007P06Rik,pass,10,4,2.5,4,2.5,7.0
1700008A23Rik,pass,11,3,3.67,3,3.67,5.0
1700008B11Rik,pass,6,2,3.0,2,3.0,5.0
1700008C04Rik,low_depth,1,1,1.0,1,1.0,0.0
1700008H02Rik,low_depth,2,2,1.0,2,1.0,0.0
1700008J07Rik,pass,195,54,3.61,52,3.75,4.86
1700008K24Rik,low_depth,2,2,1.0,2,1.0,0.0
1700008N11Rik,low_depth,2,1,2.0,1,2.0,2.0
1700008O03Rik,low_depth,14,6,2.33,6,2.33,3.67
1700009J07Rik,pass,10,2,5.0,2,5.0,9.0
1700009N14Rik,pass,62,28,2.21,28,2.21,5.25
1700010B08Rik,pass,5,2,2.5,2,2.5,4.0
1700010B13Rik,low_depth,10,7,1.43,7,1.43,2.5
1700010D01Rik,low_depth,1,1,1.0,1,1.0,0.0
1700010G06Rik,pass,5,2,2.5,1,5.0,5.0
1700010H22Rik,low_depth,11,3,3.67,3,3.67,3.67
1700010I02Rik,low_depth,2,2,1.0,2,1.0,0.0
1700010I14Rik,pass,120,39,3.08,36,3.33,4.82
1700010J16Rik,pass,13,5,2.6,4,3.25,4.0
1700010K23Rik,low_depth,2,2,1.0,2,1.0,0.0
1700011B04Rik,low_depth,1,1,1.0,1,1.0,0.0
1700011L22Rik,low_depth,2,1,2.0,1,2.0,2.0
1700012A03Rik,low_depth,3,2,1.5,2,1.5,2.0
1700012B07Rik,pass,19,4,4.75,4,4.75,4.75
1700012B09Rik,pass,16,4,4.0,4,4.0,7.0
1700012C14Rik,low_depth,1,1,1.0,1,1.0,0.0
1700012D14Rik,pass,3337,948,3.52,901,3.7,5.14
1700012D16Rik,pass,4,1,4.0,1,4.0,4.0
