####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-21 01:23:17
## Sample: 1820
## Reference: index_star_CHR_mouse.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
0610005C13Rik,low_depth,8,3,2.67,3,2.67,3.5
0610006L08Rik,low_depth,2,2,1.0,2,1.0,0.0
0610009B22Rik,pass,5326,891,5.98,801,6.65,9.26
0610009E02Rik,pass,118,34,3.47,33,3.58,6.0
0610009L18Rik,pass,349,86,4.06,86,4.06,5.7
0610010F05Rik,pass,5236,819,6.39,725,7.22,11.52
0610010K14Rik,pass,18,8,2.25,8,2.25,6.0
0610012D04Rik,pass,29,4,7.25,4,7.25,13.5
0610012G03Rik,pass,36469,4401,8.29,3740,9.75,14.37
0610025J13Rik,low_depth,1,1,1.0,1,1.0,0.0
0610030E20Rik,pass,7753,1509,5.14,1388,5.59,8.85
0610033M10Rik,low_depth,4,4,1.0,4,1.0,0.0
0610037L13Rik,pass,4859,989,4.91,917,5.3,9.01
0610038B21Rik,pass,723,141,5.13,127,5.69,11.64
0610039K10Rik,pass,90,27,3.33,27,3.33,7.3
0610040B10Rik,pass,584,94,6.21,86,6.79,10.76
0610040F04Rik,pass,143,20,7.15,20,7.15,10.46
0610040J01Rik,pass,649,123,5.28,118,5.5,8.38
0610043K17Rik,pass,65,13,5.0,11,5.91,14.5
1010001B22Rik,pass,11,2,5.5,2,5.5,5.5
1010001N08Rik,pass,27,6,4.5,6,4.5,11.5
1100001I12Rik,low_depth,8,5,1.6,4,2.0,2.33
1110002E22Rik,pass,24,21,1.14,21,1.14,4.0
1110002J07Rik,pass,827,178,4.65,164,5.04,7.84
1110002L01Rik,pass,1048,204,5.14,178,5.89,9.79
1110003F10Rik,pass,122,19,6.42,18,6.78,11.4
1110004F10Rik,pass,20943,3890,5.38,3553,5.89,8.33
1110006O24Rik,pass,360,83,4.34,79,4.56,8.02
1110008L16Rik,pass,929,206,4.51,194,4.79,8.82
1110008P14Rik,pass,8714,2064,4.22,1923,4.53,8.38
1110012L19Rik,pass,1811,312,5.8,281,6.44,10.56
1110013H19Rik,pass,200,40,5.0,37,5.41,6.82
1110015O18Rik,low_depth,1,1,1.0,1,1.0,0.0
1110017D15Rik,pass,155,22,7.05,17,9.12,16.33
1110018N20Rik,low_depth,4,3,1.33,3,1.33,2.0
1110019B22Rik,pass,9,3,3.0,3,3.0,7.0
1110019D14Rik,pass,362,84,4.31,78,4.64,8.47
1110020A21Rik,pass,190,37,5.14,37,5.14,10.0
1110025M09Rik,pass,1128,223,5.06,196,5.76,8.77
1110028F11Rik,pass,50,9,5.56,7,7.14,15.33
1110028F18Rik,pass,16,7,2.29,7,2.29,10.0
1110032A03Rik,pass,3173,564,5.63,506,6.27,10.42
1110032F04Rik,pass,15,3,5.0,3,5.0,7.0
1110035H17Rik,pass,435,82,5.3,73,5.96,10.78
1110036E04Rik,pass,12,3,4.0,3,4.0,10.0
1110038B12Rik,pass,10317,2193,4.7,2017,5.12,9.15
1110038F14Rik,pass,3740,604,6.19,546,6.85,10.86
1110046J04Rik,pass,259,52,4.98,48,5.4,10.59
1110051M20Rik,pass,1322,225,5.88,198,6.68,10.29
1110057P08Rik,low_depth,2,2,1.0,2,1.0,0.0
1110059E24Rik,pass,4609,929,4.96,846,5.45,10.11
1110059G10Rik,pass,7099,1189,5.97,1057,6.72,10.18
1110065P20Rik,pass,7269,1109,6.55,977,7.44,10.97
1190001M18Rik,pass,10,4,2.5,4,2.5,7.0
1190002N15Rik,pass,4039,788,5.13,720,5.61,9.02
1190005I06Rik,low_depth,1,1,1.0,1,1.0,0.0
1190007I07Rik,pass,970,188,5.16,172,5.64,8.46
1190028D05Rik,low_depth,1,1,1.0,1,1.0,0.0
1200007C13Rik,pass,853,159,5.36,140,6.09,8.75
1300002E11Rik,pass,1028,229,4.49,210,4.9,8.37
