####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-01-28 23:08:22
## Sample: 7272
## Reference: index_star_CHR_mouse.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
9330185C12Rik,pass,10,3,3.33,3,3.33,4.5
9330198I05Rik,pass,80,7,11.43,3,26.67,26.67
9330199G10Rik,low_depth,3,3,1.0,3,1.0,0.0
9430015G10Rik,pass,299,19,15.74,13,23.0,32.78
9430018G01Rik,pass,55,7,7.86,5,11.0,26.0
9430025C20Rik,pass,41,3,13.67,1,41.0,41.0
9430031K09Rik,pass,6,1,6.0,1,6.0,6.0
9430034N14Rik,pass,134,9,14.89,5,26.8,26.8
9430037G07Rik,low_depth,1,1,1.0,1,1.0,0.0
9430037O13Rik,pass,34,4,8.5,2,17.0,17.0
9430038I01Rik,pass,496,45,11.02,39,12.72,20.87
9430053O09Rik,low_depth,2,2,1.0,2,1.0,0.0
9430060I03Rik,low_depth,20,18,1.11,18,1.11,3.0
9430062P05Rik,pass,29,10,2.9,10,2.9,10.5
9430064I24Rik,low_depth,3,3,1.0,3,1.0,0.0
9430065F17Rik,pass,17,2,8.5,2,8.5,16.0
9430081H08Rik,pass,208,27,7.7,23,9.04,15.23
9430087B13Rik,low_depth,1,1,1.0,1,1.0,0.0
9430087J23Rik,pass,13,3,4.33,2,6.5,6.5
9430091E24Rik,pass,110,12,9.17,7,15.71,15.71
9430092D12Rik,low_depth,3,1,3.0,1,3.0,3.0
9530013L04Rik,pass,5,1,5.0,1,5.0,5.0
9530018F02Rik,low_depth,5,3,1.67,3,1.67,2.0
9530026P05Rik,low_depth,1,1,1.0,1,1.0,0.0
9530034A14Rik,low_depth,1,1,1.0,1,1.0,0.0
9530036O11Rik,low_depth,2,2,1.0,2,1.0,0.0
9530046B11Rik,low_depth,1,1,1.0,1,1.0,0.0
9530051G07Rik,pass,14,1,14.0,1,14.0,14.0
9530052E02Rik,low_depth,1,1,1.0,1,1.0,0.0
9530053A07Rik,low_depth,2,2,1.0,2,1.0,0.0
9530056E24Rik,low_depth,5,5,1.0,5,1.0,0.0
9530056K15Rik,low_depth,1,1,1.0,1,1.0,0.0
9530059O14Rik,pass,25,2,12.5,2,12.5,24.0
9530062K07Rik,pass,32,3,10.67,2,16.0,16.0
9530068E07Rik,pass,632,67,9.43,57,11.09,14.69
9530077C05Rik,low_depth,1,1,1.0,1,1.0,0.0
9530078K11Rik,low_depth,6,3,2.0,3,2.0,2.5
9530082P21Rik,low_depth,2,2,1.0,2,1.0,0.0
9530086O07Rik,low_depth,1,1,1.0,1,1.0,0.0
9530097N15Rik,pass,5,2,2.5,2,2.5,4.0
9630001P10Rik,low_depth,1,1,1.0,1,1.0,0.0
9630002D21Rik,low_depth,3,1,3.0,1,3.0,3.0
9630010A21Rik,pass,84,10,8.4,8,10.5,20.0
9630013D21Rik,pass,162,7,23.14,6,27.0,32.2
9630028B13Rik,low_depth,1,1,1.0,1,1.0,0.0
9630050E16Rik,low_depth,1,1,1.0,1,1.0,0.0
9830004L10Rik,low_depth,1,1,1.0,1,1.0,0.0
9830107B12Rik,pass,198,18,11.0,13,15.23,19.5
9930012K11Rik,pass,8,2,4.0,2,4.0,4.0
9930014A18Rik,pass,32,5,6.4,5,6.4,28.0
9930017N22Rik,pass,97,8,12.12,7,13.86,19.0
9930021J03Rik,pass,1823,151,12.07,115,15.85,18.43
9930022D16Rik,pass,106,14,7.57,11,9.64,16.83
9930024M15Rik,low_depth,2,2,1.0,2,1.0,0.0
9930104L06Rik,pass,31,2,15.5,2,15.5,15.5
9930111J21Rik1,pass,76,6,12.67,5,15.2,24.67
9930111J21Rik2,pass,2105,228,9.23,189,11.14,14.49
9930120I10Rik,low_depth,2,1,2.0,1,2.0,2.0
A030001D20Rik,pass,32,3,10.67,2,16.0,16.0
A130010J15Rik,pass,157,20,7.85,15,10.47,16.78
A130012E19Rik,pass,60,4,15.0,3,20.0,20.0
A130014A01Rik,pass,94,12,7.83,9,10.44,18.0
A130030D18Rik,low_depth,3,3,1.0,3,1.0,0.0
A130048G24Rik,low_depth,1,1,1.0,1,1.0,0.0
A130050O07Rik,low_depth,1,1,1.0,1,1.0,0.0
A130071D04Rik,pass,150,24,6.25,18,8.33,11.15
A130077B15Rik,pass,24,2,12.0,2,12.0,12.0
A1bg,low_depth,1,1,1.0,1,1.0,0.0
A1cf,low_depth,5,5,1.0,5,1.0,0.0
A230001M10Rik,low_depth,3,3,1.0,3,1.0,0.0
A230004M16Rik,low_depth,11,11,1.0,11,1.0,0.0
