####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-12-15 14:02:56
## Sample: 7270
## Reference: index_star_CHR_mouse.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
0610006L08Rik,pass,27,4,6.75,4,6.75,8.67
0610009B22Rik,pass,4148,507,8.18,436,9.51,12.75
0610009E02Rik,pass,114,18,6.33,16,7.12,10.8
0610009L18Rik,pass,270,40,6.75,33,8.18,9.46
0610010F05Rik,pass,3136,353,8.88,280,11.2,15.07
0610010K14Rik,low_depth,4,4,1.0,4,1.0,0.0
0610012D04Rik,pass,46,4,11.5,4,11.5,11.5
0610012G03Rik,pass,17620,1726,10.21,1362,12.94,16.37
0610025J13Rik,pass,31,3,10.33,2,15.5,15.5
0610030E20Rik,pass,2108,338,6.24,293,7.19,10.12
0610031O16Rik,low_depth,2,1,2.0,1,2.0,2.0
0610037L13Rik,pass,3703,560,6.61,474,7.81,11.66
0610038B21Rik,pass,218,25,8.72,18,12.11,15.29
0610039K10Rik,pass,108,16,6.75,16,6.75,9.36
0610040B10Rik,pass,248,32,7.75,28,8.86,13.22
0610040F04Rik,pass,4,1,4.0,1,4.0,4.0
0610040J01Rik,pass,405,55,7.36,48,8.44,10.92
0610043K17Rik,pass,27,6,4.5,5,5.4,8.33
1010001N08Rik,pass,22,2,11.0,2,11.0,11.0
1110002E22Rik,low_depth,1,1,1.0,1,1.0,0.0
1110002J07Rik,pass,144,25,5.76,24,6.0,8.06
1110002L01Rik,pass,556,72,7.72,61,9.11,12.79
1110003F10Rik,pass,114,12,9.5,9,12.67,18.5
1110004F10Rik,pass,7888,1427,5.53,1277,6.18,8.34
1110006O24Rik,pass,181,20,9.05,19,9.53,13.46
1110008L16Rik,pass,576,84,6.86,70,8.23,12.0
1110008P14Rik,pass,4017,493,8.15,421,9.54,13.44
1110012L19Rik,pass,1059,129,8.21,107,9.9,12.9
1110013H19Rik,pass,84,9,9.33,9,9.33,13.5
1110017D15Rik,pass,88,12,7.33,8,11.0,12.43
1110019B22Rik,pass,26,2,13.0,1,26.0,26.0
1110019D14Rik,pass,290,45,6.44,40,7.25,11.0
1110020A21Rik,pass,260,24,10.83,23,11.3,20.75
1110025M09Rik,pass,147,32,4.59,29,5.07,7.21
1110028F11Rik,pass,14,3,4.67,1,14.0,14.0
1110028F18Rik,pass,54,8,6.75,7,7.71,10.4
1110032A03Rik,pass,3653,414,8.82,339,10.78,14.1
1110032F04Rik,pass,12,1,12.0,1,12.0,12.0
1110035H17Rik,pass,256,29,8.83,21,12.19,14.06
1110036E04Rik,low_depth,2,2,1.0,2,1.0,0.0
1110038B12Rik,pass,7602,978,7.77,825,9.21,13.34
1110038F14Rik,pass,2925,294,9.95,252,11.61,15.14
1110046J04Rik,pass,407,49,8.31,44,9.25,12.71
1110051M20Rik,pass,1632,184,8.87,146,11.18,14.39
1110059E24Rik,pass,3086,345,8.94,268,11.51,16.07
1110059G10Rik,pass,3770,501,7.52,420,8.98,13.14
1110065P20Rik,pass,5201,572,9.09,455,11.43,14.44
1190001M18Rik,pass,7,2,3.5,2,3.5,6.0
1190002N15Rik,pass,1893,242,7.82,211,8.97,13.19
1190007I07Rik,pass,450,75,6.0,65,6.92,10.39
1190028D05Rik,low_depth,1,1,1.0,1,1.0,0.0
1200007C13Rik,pass,302,37,8.16,33,9.15,10.28
1300002E11Rik,pass,591,84,7.04,64,9.23,13.26
1300014J16Rik,pass,80,10,8.0,9,8.89,15.2
1300017J02Rik,low_depth,5,3,1.67,3,1.67,3.0
1500002C15Rik,pass,117,21,5.57,21,5.57,9.73
1500002F19Rik,pass,58,22,2.64,20,2.9,10.5
1500004A13Rik,pass,165,45,3.67,42,3.93,9.2
1500005C15Rik,pass,36,4,9.0,4,9.0,9.0
1500009C09Rik,pass,77,7,11.0,5,15.4,25.0
1500009L16Rik,pass,1002,124,8.08,106,9.45,13.8
1500011B03Rik,pass,4890,568,8.61,477,10.25,13.09
1500011K16Rik,pass,4705,564,8.34,474,9.93,14.31
1500015A07Rik,pass,343,41,8.37,34,10.09,13.36
1500015L24Rik,pass,39,3,13.0,2,19.5,38.0
1500015O10Rik,pass,12095,1403,8.62,1150,10.52,14.91
1500026H17Rik,pass,153,13,11.77,9,17.0,25.0
1520401A03Rik,low_depth,1,1,1.0,1,1.0,0.0
1600002K03Rik,pass,1981,289,6.85,248,7.99,11.02
1600010M07Rik,pass,2175,218,9.98,184,11.82,15.53
1600012H06Rik,pass,5837,828,7.05,703,8.3,10.35
1600012P17Rik,low_depth,1,1,1.0,1,1.0,0.0
1600014C10Rik,pass,16496,1964,8.4,1636,10.08,13.33
1600014C23Rik,low_depth,4,2,2.0,2,2.0,3.0
1600020E01Rik,pass,1506,190,7.93,160,9.41,12.5
1600023N17Rik,pass,11,2,5.5,2,5.5,5.5
1600025M17Rik,low_depth,1,1,1.0,1,1.0,0.0
1600027J07Rik,pass,9,1,9.0,1,9.0,9.0
1600029O15Rik,low_depth,120,86,1.4,86,1.4,3.83
