"Cell_Index","UMIs_human","UMIs_mouse","Labels"
"1820_Cell_Index757956",851,2227,"mainly_mouse"
"1820_Cell_Index758129",1058,2843,"mainly_mouse"
"1820_Cell_Index75820",714,2071,"mainly_mouse"
"1820_Cell_Index758203",1378,4368,"mainly_mouse"
"1820_Cell_Index758210",758,2546,"mainly_mouse"
"1820_Cell_Index758257",994,2798,"mainly_mouse"
"1820_Cell_Index758276",6478,16405,"mainly_mouse"
"1820_Cell_Index758297",670,2096,"mainly_mouse"
"1820_Cell_Index758308",0,1085,"unique_mouse"
"1820_Cell_Index758416",578,1830,"mainly_mouse"
"1820_Cell_Index758480",0,951,"unique_mouse"
"1820_Cell_Index758487",14781,31273,"mainly_mouse"
"1820_Cell_Index758625",0,804,"unique_mouse"
"1820_Cell_Index75867",3756,10431,"mainly_mouse"
"1820_Cell_Index758829",0,1394,"unique_mouse"
"1820_Cell_Index759037",898,2718,"mainly_mouse"
"1820_Cell_Index759071",2247,6815,"mainly_mouse"
"1820_Cell_Index759167",932,2776,"mainly_mouse"
"1820_Cell_Index759272",594,1741,"mainly_mouse"
"1820_Cell_Index759344",823,2534,"mainly_mouse"
"1820_Cell_Index759411",666,2187,"mainly_mouse"
"1820_Cell_Index759422",0,1135,"unique_mouse"
"1820_Cell_Index759447",757,2132,"mainly_mouse"
"1820_Cell_Index759455",886,2572,"mainly_mouse"
"1820_Cell_Index759532",2681,6793,"mainly_mouse"
"1820_Cell_Index759610",563,1783,"mainly_mouse"
"1820_Cell_Index759619",1115,2944,"mainly_mouse"
"1820_Cell_Index759645",1550,4441,"mainly_mouse"
"1820_Cell_Index759665",935,2645,"mainly_mouse"
"1820_Cell_Index759769",909,2730,"mainly_mouse"
"1820_Cell_Index759792",1011,2830,"mainly_mouse"
"1820_Cell_Index759794",0,1014,"unique_mouse"
"1820_Cell_Index760008",1814,0,"unique_human"
"1820_Cell_Index760181",548,1714,"mainly_mouse"
"1820_Cell_Index76021",5480,13289,"mainly_mouse"
"1820_Cell_Index760329",657,2036,"mainly_mouse"
"1820_Cell_Index760339",1737,0,"unique_human"
"1820_Cell_Index760342",1526,4830,"mainly_mouse"
"1820_Cell_Index760378",973,2798,"mainly_mouse"
"1820_Cell_Index760464",870,2434,"mainly_mouse"
"1820_Cell_Index760479",706,2358,"mainly_mouse"
"1820_Cell_Index760669",539,1605,"mainly_mouse"
"1820_Cell_Index760717",0,800,"unique_mouse"
"1820_Cell_Index760816",6655,16692,"mainly_mouse"
"1820_Cell_Index760832",0,1385,"unique_mouse"
"1820_Cell_Index760854",780,2462,"mainly_mouse"
"1820_Cell_Index760914",4677,11841,"mainly_mouse"
"1820_Cell_Index760935",8551,20955,"mainly_mouse"
"1820_Cell_Index76105",1445,3907,"mainly_mouse"
"1820_Cell_Index761053",1246,3852,"mainly_mouse"
"1820_Cell_Index761072",719,2098,"mainly_mouse"
"1820_Cell_Index761105",715,2399,"mainly_mouse"
"1820_Cell_Index761130",1172,3356,"mainly_mouse"
"1820_Cell_Index76115",742,2259,"mainly_mouse"
"1820_Cell_Index76123",1019,3579,"mainly_mouse"
"1820_Cell_Index761273",1086,2909,"mainly_mouse"
"1820_Cell_Index761287",625,1781,"mainly_mouse"
"1820_Cell_Index761389",0,1038,"unique_mouse"
"1820_Cell_Index761528",572,1748,"mainly_mouse"
"1820_Cell_Index76168",799,2382,"mainly_mouse"
"1820_Cell_Index761684",996,2635,"mainly_mouse"
"1820_Cell_Index761931",793,2283,"mainly_mouse"
"1820_Cell_Index7620",0,630,"unique_mouse"
"1820_Cell_Index762066",0,1469,"unique_mouse"
"1820_Cell_Index762145",1210,3312,"mainly_mouse"
"1820_Cell_Index762163",782,2239,"mainly_mouse"
"1820_Cell_Index76222",0,1179,"unique_mouse"
"1820_Cell_Index762290",2544,7682,"mainly_mouse"
"1820_Cell_Index762291",635,0,"unique_human"
"1820_Cell_Index762316",819,2642,"mainly_mouse"
"1820_Cell_Index762483",679,2062,"mainly_mouse"
"1820_Cell_Index762545",0,637,"unique_mouse"
"1820_Cell_Index762635",928,3128,"mainly_mouse"
"1820_Cell_Index762675",0,939,"unique_mouse"
"1820_Cell_Index7627",637,2214,"mainly_mouse"
"1820_Cell_Index762739",570,1729,"mainly_mouse"
"1820_Cell_Index762752",641,2092,"mainly_mouse"
"1820_Cell_Index762772",900,2672,"mainly_mouse"
"1820_Cell_Index76284",861,2721,"mainly_mouse"
"1820_Cell_Index762841",924,2741,"mainly_mouse"
"1820_Cell_Index762925",619,1744,"mainly_mouse"
"1820_Cell_Index76311",1017,2813,"mainly_mouse"
"1820_Cell_Index763165",584,1502,"mainly_mouse"
"1820_Cell_Index763407",600,1816,"mainly_mouse"
"1820_Cell_Index763464",762,2228,"mainly_mouse"
"1820_Cell_Index763483",535,1482,"mainly_mouse"
"1820_Cell_Index763538",503,1511,"mainly_mouse"
"1820_Cell_Index763550",710,2028,"mainly_mouse"
"1820_Cell_Index763649",837,2401,"mainly_mouse"
"1820_Cell_Index763697",523,1658,"mainly_mouse"
"1820_Cell_Index763745",0,1372,"unique_mouse"
"1820_Cell_Index763778",933,2575,"mainly_mouse"
"1820_Cell_Index763842",559,1684,"mainly_mouse"
"1820_Cell_Index763957",0,506,"unique_mouse"
"1820_Cell_Index763969",7335,17285,"mainly_mouse"
"1820_Cell_Index764017",536,1735,"mainly_mouse"
"1820_Cell_Index76404",889,2566,"mainly_mouse"
"1820_Cell_Index76416",693,2160,"mainly_mouse"
"1820_Cell_Index764224",611,1803,"mainly_mouse"
"1820_Cell_Index764401",619,1887,"mainly_mouse"
"1820_Cell_Index764413",749,2205,"mainly_mouse"
"1820_Cell_Index764424",596,1903,"mainly_mouse"
"1820_Cell_Index764465",554,1719,"mainly_mouse"
"1820_Cell_Index76472",715,1799,"mainly_mouse"
"1820_Cell_Index764774",2577,7687,"mainly_mouse"
"1820_Cell_Index764888",603,1640,"mainly_mouse"
"1820_Cell_Index76500",837,2250,"mainly_mouse"
"1820_Cell_Index765003",895,2629,"mainly_mouse"
"1820_Cell_Index765179",796,3021,"mainly_mouse"
"1820_Cell_Index765411",1289,3548,"mainly_mouse"
"1820_Cell_Index765446",774,2333,"mainly_mouse"
"1820_Cell_Index76546",652,1407,"mainly_mouse"
"1820_Cell_Index765472",1861,5638,"mainly_mouse"
"1820_Cell_Index765475",0,1077,"unique_mouse"
"1820_Cell_Index765483",824,2225,"mainly_mouse"
"1820_Cell_Index76551",926,2691,"mainly_mouse"
"1820_Cell_Index765524",1788,5232,"mainly_mouse"
"1820_Cell_Index76556",1044,2983,"mainly_mouse"
"1820_Cell_Index765562",802,2608,"mainly_mouse"
"1820_Cell_Index765598",687,2197,"mainly_mouse"
"1820_Cell_Index765603",810,2376,"mainly_mouse"
"1820_Cell_Index765821",737,2324,"mainly_mouse"
"1820_Cell_Index765864",756,2274,"mainly_mouse"
"1820_Cell_Index765870",784,2481,"mainly_mouse"
"1820_Cell_Index765883",1413,3884,"mainly_mouse"
"1820_Cell_Index765919",626,2167,"mainly_mouse"
"1820_Cell_Index766042",845,2608,"mainly_mouse"
"1820_Cell_Index766094",1271,2470,"mainly_mouse"
"1820_Cell_Index766480",0,21481,"unique_mouse"
"1820_Cell_Index766492",1114,3247,"mainly_mouse"
"1820_Cell_Index766522",1075,3589,"mainly_mouse"
"1820_Cell_Index766551",1326,4388,"mainly_mouse"
"1820_Cell_Index766561",745,2099,"mainly_mouse"
"1820_Cell_Index766753",8187,21537,"mainly_mouse"
"1820_Cell_Index766767",824,2646,"mainly_mouse"
"1820_Cell_Index766851",699,1957,"mainly_mouse"
"1820_Cell_Index766900",1143,3147,"mainly_mouse"
"1820_Cell_Index76697",1042,3262,"mainly_mouse"
"1820_Cell_Index767024",5901,13099,"mainly_mouse"
"1820_Cell_Index767098",952,2725,"mainly_mouse"
"1820_Cell_Index767165",0,866,"unique_mouse"
"1820_Cell_Index767190",817,2348,"mainly_mouse"
"1820_Cell_Index767273",677,2001,"mainly_mouse"
"1820_Cell_Index767286",900,2323,"mainly_mouse"
"1820_Cell_Index767291",1152,3304,"mainly_mouse"
"1820_Cell_Index767337",0,1069,"unique_mouse"
"1820_Cell_Index767389",603,2056,"mainly_mouse"
"1820_Cell_Index767401",951,0,"unique_human"
"1820_Cell_Index767505",2491,7810,"mainly_mouse"
"1820_Cell_Index767668",714,2307,"mainly_mouse"
"1820_Cell_Index767683",1274,3987,"mainly_mouse"
"1820_Cell_Index767764",8065,21093,"mainly_mouse"
"1820_Cell_Index767823",0,1003,"unique_mouse"
"1820_Cell_Index768164",845,2400,"mainly_mouse"
"1820_Cell_Index768207",1171,3624,"mainly_mouse"
"1820_Cell_Index768211",803,2530,"mainly_mouse"
"1820_Cell_Index768218",603,1612,"mainly_mouse"
"1820_Cell_Index768494",579,1849,"mainly_mouse"
"1820_Cell_Index768501",845,2482,"mainly_mouse"
"1820_Cell_Index7686",1956,5893,"mainly_mouse"
"1820_Cell_Index768665",0,643,"unique_mouse"
"1820_Cell_Index768704",588,2029,"mainly_mouse"
"1820_Cell_Index768770",6964,15783,"mainly_mouse"
"1820_Cell_Index768900",935,2407,"mainly_mouse"
"1820_Cell_Index768957",960,2942,"mainly_mouse"
"1820_Cell_Index768992",893,2589,"mainly_mouse"
"1820_Cell_Index769037",748,2025,"mainly_mouse"
"1820_Cell_Index76915",4205,10863,"mainly_mouse"
"1820_Cell_Index769219",784,2184,"mainly_mouse"
"1820_Cell_Index769255",784,2732,"mainly_mouse"
"1820_Cell_Index769291",917,2648,"mainly_mouse"
"1820_Cell_Index769297",10774,25159,"mainly_mouse"
"1820_Cell_Index769346",894,2331,"mainly_mouse"
"1820_Cell_Index769376",810,2431,"mainly_mouse"
"1820_Cell_Index76943",1431,4112,"mainly_mouse"
"1820_Cell_Index769449",0,1436,"unique_mouse"
"1820_Cell_Index769612",988,2785,"mainly_mouse"
"1820_Cell_Index769673",0,1106,"unique_mouse"
"1820_Cell_Index769932",2234,0,"unique_human"
"1820_Cell_Index7700",0,1563,"unique_mouse"
"1820_Cell_Index77009",944,2793,"mainly_mouse"
"1820_Cell_Index770121",3458,10663,"mainly_mouse"
"1820_Cell_Index77014",522,1598,"mainly_mouse"
"1820_Cell_Index770294",663,2170,"mainly_mouse"
"1820_Cell_Index770489",1475,4428,"mainly_mouse"
"1820_Cell_Index770540",1114,3618,"mainly_mouse"
"1820_Cell_Index770564",1253,3793,"mainly_mouse"
"1820_Cell_Index770713",745,2294,"mainly_mouse"
"1820_Cell_Index770724",648,2041,"mainly_mouse"
"1820_Cell_Index770734",806,2511,"mainly_mouse"
"1820_Cell_Index770825",1888,5708,"mainly_mouse"
"1820_Cell_Index770844",803,2460,"mainly_mouse"
"1820_Cell_Index770990",759,2013,"mainly_mouse"
"1820_Cell_Index771000",1274,4035,"mainly_mouse"
"1820_Cell_Index771176",779,2353,"mainly_mouse"
"1820_Cell_Index771187",574,1772,"mainly_mouse"
"1820_Cell_Index771199",0,967,"unique_mouse"
"1820_Cell_Index771257",699,1972,"mainly_mouse"
"1820_Cell_Index771335",0,1340,"unique_mouse"
"1820_Cell_Index77140",686,1995,"mainly_mouse"
"1820_Cell_Index771483",929,2611,"mainly_mouse"
"1820_Cell_Index771578",554,1429,"mainly_mouse"
"1820_Cell_Index771584",7717,19686,"mainly_mouse"
"1820_Cell_Index771715",1180,3533,"mainly_mouse"
"1820_Cell_Index77172",633,1740,"mainly_mouse"
"1820_Cell_Index771780",0,1335,"unique_mouse"
"1820_Cell_Index771951",578,2014,"mainly_mouse"
"1820_Cell_Index77198",809,2394,"mainly_mouse"
"1820_Cell_Index77200",659,2033,"mainly_mouse"
"1820_Cell_Index772076",933,2780,"mainly_mouse"
"1820_Cell_Index77208",1239,4046,"mainly_mouse"
"1820_Cell_Index772172",1189,3357,"mainly_mouse"
"1820_Cell_Index772180",965,3126,"mainly_mouse"
"1820_Cell_Index772217",1023,2684,"mainly_mouse"
"1820_Cell_Index772326",852,2537,"mainly_mouse"
"1820_Cell_Index772343",1119,3147,"mainly_mouse"
"1820_Cell_Index77240",841,2240,"mainly_mouse"
"1820_Cell_Index772423",628,1981,"mainly_mouse"
"1820_Cell_Index772538",813,2707,"mainly_mouse"
"1820_Cell_Index772725",0,1078,"unique_mouse"
"1820_Cell_Index772786",15251,0,"unique_human"
"1820_Cell_Index77279",798,2383,"mainly_mouse"
"1820_Cell_Index772794",979,2945,"mainly_mouse"
"1820_Cell_Index772901",643,1715,"mainly_mouse"
"1820_Cell_Index773000",843,2577,"mainly_mouse"
"1820_Cell_Index773049",1633,0,"unique_human"
"1820_Cell_Index773135",1211,3661,"mainly_mouse"
"1820_Cell_Index773200",66795,43605,"mainly_human"
"1820_Cell_Index773235",667,2152,"mainly_mouse"
"1820_Cell_Index77330",950,2885,"mainly_mouse"
"1820_Cell_Index773306",1152,3040,"mainly_mouse"
"1820_Cell_Index773426",875,2559,"mainly_mouse"
"1820_Cell_Index773498",585,1768,"mainly_mouse"
"1820_Cell_Index773580",0,1136,"unique_mouse"
"1820_Cell_Index773595",913,2413,"mainly_mouse"
"1820_Cell_Index773713",636,1933,"mainly_mouse"
"1820_Cell_Index773718",1201,3670,"mainly_mouse"
"1820_Cell_Index773725",734,2165,"mainly_mouse"
"1820_Cell_Index773733",0,799,"unique_mouse"
"1820_Cell_Index773767",789,2418,"mainly_mouse"
"1820_Cell_Index77380",534,1913,"mainly_mouse"
"1820_Cell_Index773837",1552,4626,"mainly_mouse"
"1820_Cell_Index774035",5825,14667,"mainly_mouse"
"1820_Cell_Index774066",2379,6831,"mainly_mouse"
"1820_Cell_Index774230",721,2116,"mainly_mouse"
"1820_Cell_Index774246",0,1034,"unique_mouse"
"1820_Cell_Index774293",731,2097,"mainly_mouse"
"1820_Cell_Index77443",971,2785,"mainly_mouse"
"1820_Cell_Index77466",0,1238,"unique_mouse"
"1820_Cell_Index774697",2446,5175,"mainly_mouse"
"1820_Cell_Index774754",933,2902,"mainly_mouse"
"1820_Cell_Index774813",0,6614,"unique_mouse"
"1820_Cell_Index775044",1068,3055,"mainly_mouse"
"1820_Cell_Index775056",675,2053,"mainly_mouse"
"1820_Cell_Index775074",1345,4218,"mainly_mouse"
"1820_Cell_Index775078",11514,27015,"mainly_mouse"
"1820_Cell_Index775120",1173,3467,"mainly_mouse"
"1820_Cell_Index775274",886,2556,"mainly_mouse"
"1820_Cell_Index775289",1056,3097,"mainly_mouse"
"1820_Cell_Index77539",0,1175,"unique_mouse"
"1820_Cell_Index775393",832,2219,"mainly_mouse"
"1820_Cell_Index775452",1245,3761,"mainly_mouse"
"1820_Cell_Index775457",14721,33503,"mainly_mouse"
"1820_Cell_Index775480",2281,6726,"mainly_mouse"
"1820_Cell_Index77571",1338,4300,"mainly_mouse"
"1820_Cell_Index775721",807,2053,"mainly_mouse"
"1820_Cell_Index775769",0,646,"unique_mouse"
"1820_Cell_Index775831",760,2258,"mainly_mouse"
"1820_Cell_Index775850",2521,6002,"mainly_mouse"
"1820_Cell_Index775972",7990,18699,"mainly_mouse"
"1820_Cell_Index776024",756,1888,"mainly_mouse"
"1820_Cell_Index776047",0,688,"unique_mouse"
"1820_Cell_Index776157",968,2915,"mainly_mouse"
"1820_Cell_Index776210",636,2045,"mainly_mouse"
"1820_Cell_Index776242",940,2859,"mainly_mouse"
"1820_Cell_Index776259",805,2218,"mainly_mouse"
"1820_Cell_Index77638",647,1856,"mainly_mouse"
"1820_Cell_Index776509",14518,31310,"mainly_mouse"
"1820_Cell_Index776545",1470,3592,"mainly_mouse"
"1820_Cell_Index776611",902,2577,"mainly_mouse"
"1820_Cell_Index77665",959,2862,"mainly_mouse"
"1820_Cell_Index776654",666,1888,"mainly_mouse"
"1820_Cell_Index776676",660,1890,"mainly_mouse"
"1820_Cell_Index776718",846,2764,"mainly_mouse"
"1820_Cell_Index776761",611,1657,"mainly_mouse"
"1820_Cell_Index776835",889,2573,"mainly_mouse"
"1820_Cell_Index776853",556,1481,"mainly_mouse"
"1820_Cell_Index776881",803,2261,"mainly_mouse"
"1820_Cell_Index776920",704,1815,"mainly_mouse"
"1820_Cell_Index776952",13064,29057,"mainly_mouse"
"1820_Cell_Index777147",544,1698,"mainly_mouse"
"1820_Cell_Index777255",11617,27487,"mainly_mouse"
"1820_Cell_Index777258",736,2215,"mainly_mouse"
"1820_Cell_Index777345",780,2408,"mainly_mouse"
"1820_Cell_Index777423",685,1941,"mainly_mouse"
"1820_Cell_Index777486",714,2172,"mainly_mouse"
"1820_Cell_Index777589",5801,14856,"mainly_mouse"
"1820_Cell_Index777727",813,2812,"mainly_mouse"
"1820_Cell_Index777765",1189,3885,"mainly_mouse"
"1820_Cell_Index777772",768,2430,"mainly_mouse"
"1820_Cell_Index777818",648,2113,"mainly_mouse"
"1820_Cell_Index777829",804,2388,"mainly_mouse"
"1820_Cell_Index777843",696,2232,"mainly_mouse"
"1820_Cell_Index777854",1107,3226,"mainly_mouse"
"1820_Cell_Index778018",595,1784,"mainly_mouse"
"1820_Cell_Index778072",647,1921,"mainly_mouse"
"1820_Cell_Index778416",1273,4206,"mainly_mouse"
"1820_Cell_Index778480",524,1530,"mainly_mouse"
"1820_Cell_Index778492",6767,15381,"mainly_mouse"
"1820_Cell_Index77851",932,2762,"mainly_mouse"
"1820_Cell_Index778662",681,1868,"mainly_mouse"
"1820_Cell_Index778688",865,2541,"mainly_mouse"
"1820_Cell_Index778814",990,2979,"mainly_mouse"
"1820_Cell_Index778853",938,2750,"mainly_mouse"
"1820_Cell_Index77886",818,2421,"mainly_mouse"
"1820_Cell_Index778909",1011,3162,"mainly_mouse"
"1820_Cell_Index778915",7354,17237,"mainly_mouse"
"1820_Cell_Index778924",1068,2892,"mainly_mouse"
"1820_Cell_Index778936",844,2728,"mainly_mouse"
"1820_Cell_Index778980",882,2866,"mainly_mouse"
"1820_Cell_Index779024",12908,32329,"mainly_mouse"
"1820_Cell_Index779131",672,1822,"mainly_mouse"
"1820_Cell_Index779496",807,2415,"mainly_mouse"
"1820_Cell_Index779504",799,2448,"mainly_mouse"
"1820_Cell_Index779516",928,2714,"mainly_mouse"
"1820_Cell_Index77954",1565,4610,"mainly_mouse"
"1820_Cell_Index779550",3897,9645,"mainly_mouse"
"1820_Cell_Index779672",1064,3159,"mainly_mouse"
"1820_Cell_Index779714",9167,20734,"mainly_mouse"
"1820_Cell_Index779870",9262,22825,"mainly_mouse"
"1820_Cell_Index779927",710,2105,"mainly_mouse"
"1820_Cell_Index779965",6309,16263,"mainly_mouse"
"1820_Cell_Index780077",937,2483,"mainly_mouse"
"1820_Cell_Index780081",627,2067,"mainly_mouse"
"1820_Cell_Index780246",1041,3278,"mainly_mouse"
"1820_Cell_Index780280",0,882,"unique_mouse"
"1820_Cell_Index780282",906,2725,"mainly_mouse"
"1820_Cell_Index780413",627,2013,"mainly_mouse"
"1820_Cell_Index780451",852,2512,"mainly_mouse"
"1820_Cell_Index780519",0,1460,"unique_mouse"
"1820_Cell_Index780547",0,1179,"unique_mouse"
"1820_Cell_Index780586",1738,5303,"mainly_mouse"
"1820_Cell_Index780650",921,2581,"mainly_mouse"
"1820_Cell_Index780683",1247,0,"unique_human"
"1820_Cell_Index780686",2407,7410,"mainly_mouse"
"1820_Cell_Index780713",1687,5076,"mainly_mouse"
"1820_Cell_Index780736",570,1723,"mainly_mouse"
"1820_Cell_Index780748",545,1590,"mainly_mouse"
"1820_Cell_Index780810",1825,4564,"mainly_mouse"
"1820_Cell_Index78093",1196,3763,"mainly_mouse"
"1820_Cell_Index780972",1313,4011,"mainly_mouse"
"1820_Cell_Index781012",2291,6684,"mainly_mouse"
"1820_Cell_Index781019",3990,10002,"mainly_mouse"
"1820_Cell_Index781511",0,1377,"unique_mouse"
"1820_Cell_Index781688",660,2236,"mainly_mouse"
"1820_Cell_Index781689",789,2229,"mainly_mouse"
"1820_Cell_Index781710",716,2363,"mainly_mouse"
"1820_Cell_Index781822",874,2608,"mainly_mouse"
"1820_Cell_Index781974",773,2180,"mainly_mouse"
"1820_Cell_Index782042",569,1922,"mainly_mouse"
"1820_Cell_Index782057",0,728,"unique_mouse"
"1820_Cell_Index782173",11212,26801,"mainly_mouse"
"1820_Cell_Index78224",1076,3106,"mainly_mouse"
"1820_Cell_Index782292",576,1771,"mainly_mouse"
"1820_Cell_Index782374",2775,8288,"mainly_mouse"
"1820_Cell_Index782375",2206,6418,"mainly_mouse"
"1820_Cell_Index78242",7035,17069,"mainly_mouse"
"1820_Cell_Index782437",851,2344,"mainly_mouse"
"1820_Cell_Index782444",861,2391,"mainly_mouse"
"1820_Cell_Index782652",0,11919,"unique_mouse"
"1820_Cell_Index782679",0,1201,"unique_mouse"
"1820_Cell_Index7827",0,893,"unique_mouse"
"1820_Cell_Index782804",864,2565,"mainly_mouse"
"1820_Cell_Index782868",811,2500,"mainly_mouse"
"1820_Cell_Index78290",2433,5000,"mainly_mouse"
"1820_Cell_Index782991",925,2675,"mainly_mouse"
"1820_Cell_Index783040",934,2630,"mainly_mouse"
"1820_Cell_Index783181",836,2575,"mainly_mouse"
"1820_Cell_Index783208",601,1776,"mainly_mouse"
"1820_Cell_Index783219",1125,2696,"mainly_mouse"
"1820_Cell_Index783266",961,2825,"mainly_mouse"
"1820_Cell_Index783322",929,2614,"mainly_mouse"
"1820_Cell_Index783325",902,2568,"mainly_mouse"
"1820_Cell_Index783359",761,2475,"mainly_mouse"
"1820_Cell_Index783428",546,1844,"mainly_mouse"
"1820_Cell_Index783508",929,2630,"mainly_mouse"
"1820_Cell_Index783564",898,2693,"mainly_mouse"
"1820_Cell_Index78368",5113,12561,"mainly_mouse"
"1820_Cell_Index783730",4025,9485,"mainly_mouse"
"1820_Cell_Index78375",747,2262,"mainly_mouse"
"1820_Cell_Index783759",889,2374,"mainly_mouse"
"1820_Cell_Index783775",690,2098,"mainly_mouse"
"1820_Cell_Index783817",747,2007,"mainly_mouse"
"1820_Cell_Index783974",0,1279,"unique_mouse"
"1820_Cell_Index784089",614,1996,"mainly_mouse"
"1820_Cell_Index784117",815,2561,"mainly_mouse"
"1820_Cell_Index784176",895,2641,"mainly_mouse"
"1820_Cell_Index78423",1906,5248,"mainly_mouse"
"1820_Cell_Index784273",0,929,"unique_mouse"
"1820_Cell_Index784275",0,1359,"unique_mouse"
"1820_Cell_Index784394",0,1327,"unique_mouse"
"1820_Cell_Index784414",794,2509,"mainly_mouse"
"1820_Cell_Index784518",0,915,"unique_mouse"
"1820_Cell_Index784562",568,1850,"mainly_mouse"
"1820_Cell_Index784622",0,820,"unique_mouse"
"1820_Cell_Index784740",724,2271,"mainly_mouse"
"1820_Cell_Index784775",512,1409,"mainly_mouse"
"1820_Cell_Index784842",890,2803,"mainly_mouse"
"1820_Cell_Index784879",750,2205,"mainly_mouse"
"1820_Cell_Index784883",690,2144,"mainly_mouse"
"1820_Cell_Index785001",0,715,"unique_mouse"
"1820_Cell_Index785037",568,1845,"mainly_mouse"
"1820_Cell_Index785064",0,1317,"unique_mouse"
"1820_Cell_Index785167",740,2304,"mainly_mouse"
"1820_Cell_Index785170",853,2708,"mainly_mouse"
"1820_Cell_Index785254",4173,10503,"mainly_mouse"
"1820_Cell_Index785443",7361,16809,"mainly_mouse"
"1820_Cell_Index785460",651,1969,"mainly_mouse"
"1820_Cell_Index785575",648,2084,"mainly_mouse"
"1820_Cell_Index785616",988,2999,"mainly_mouse"
"1820_Cell_Index785643",808,2583,"mainly_mouse"
"1820_Cell_Index785645",828,2325,"mainly_mouse"
"1820_Cell_Index78572",1888,5303,"mainly_mouse"
"1820_Cell_Index785792",731,2181,"mainly_mouse"
"1820_Cell_Index785821",980,2836,"mainly_mouse"
"1820_Cell_Index785949",663,1939,"mainly_mouse"
"1820_Cell_Index786017",1718,5256,"mainly_mouse"
"1820_Cell_Index786111",3753,9703,"mainly_mouse"
"1820_Cell_Index786166",558,1806,"mainly_mouse"
"1820_Cell_Index786191",634,1925,"mainly_mouse"
"1820_Cell_Index786286",0,1065,"unique_mouse"
"1820_Cell_Index786381",0,1033,"unique_mouse"
"1820_Cell_Index786410",3326,9071,"mainly_mouse"
"1820_Cell_Index786583",649,0,"unique_human"
"1820_Cell_Index786586",739,1930,"mainly_mouse"
"1820_Cell_Index786663",852,2454,"mainly_mouse"
"1820_Cell_Index786733",1354,4478,"mainly_mouse"
"1820_Cell_Index786772",745,2196,"mainly_mouse"
"1820_Cell_Index786773",561,1965,"mainly_mouse"
"1820_Cell_Index786780",612,1837,"mainly_mouse"
"1820_Cell_Index786822",5961,13597,"mainly_mouse"
"1820_Cell_Index787088",707,2211,"mainly_mouse"
"1820_Cell_Index787108",577,1645,"mainly_mouse"
"1820_Cell_Index787121",0,1692,"unique_mouse"
"1820_Cell_Index787213",839,2496,"mainly_mouse"
"1820_Cell_Index787234",0,728,"unique_mouse"
"1820_Cell_Index787314",883,1820,"mainly_mouse"
"1820_Cell_Index787340",8565,20142,"mainly_mouse"
"1820_Cell_Index787403",1327,3983,"mainly_mouse"
"1820_Cell_Index787451",10918,25999,"mainly_mouse"
"1820_Cell_Index787528",726,2082,"mainly_mouse"
"1820_Cell_Index787628",863,2279,"mainly_mouse"
"1820_Cell_Index787647",0,675,"unique_mouse"
"1820_Cell_Index787690",1622,4438,"mainly_mouse"
"1820_Cell_Index787756",6456,15603,"mainly_mouse"
"1820_Cell_Index787770",727,2543,"mainly_mouse"
"1820_Cell_Index787772",788,2243,"mainly_mouse"
"1820_Cell_Index787811",900,2450,"mainly_mouse"
"1820_Cell_Index788003",887,2867,"mainly_mouse"
"1820_Cell_Index788113",7288,18729,"mainly_mouse"
"1820_Cell_Index788114",778,2608,"mainly_mouse"
"1820_Cell_Index788127",811,2262,"mainly_mouse"
"1820_Cell_Index788309",812,0,"unique_human"
"1820_Cell_Index788320",527,1548,"mainly_mouse"
"1820_Cell_Index788467",820,2577,"mainly_mouse"
"1820_Cell_Index788514",4938,11552,"mainly_mouse"
"1820_Cell_Index788596",616,1808,"mainly_mouse"
"1820_Cell_Index788678",905,2766,"mainly_mouse"
"1820_Cell_Index788760",612,2047,"mainly_mouse"
"1820_Cell_Index788818",643,1797,"mainly_mouse"
"1820_Cell_Index788822",0,1545,"unique_mouse"
"1820_Cell_Index788862",0,534,"unique_mouse"
"1820_Cell_Index788895",0,8040,"unique_mouse"
"1820_Cell_Index788898",553,1477,"mainly_mouse"
"1820_Cell_Index78891",2078,5308,"mainly_mouse"
"1820_Cell_Index788928",673,1864,"mainly_mouse"
"1820_Cell_Index78894",2667,7132,"mainly_mouse"
"1820_Cell_Index78899",891,2797,"mainly_mouse"
"1820_Cell_Index78906",818,1850,"mainly_mouse"
"1820_Cell_Index789088",517,1432,"mainly_mouse"
"1820_Cell_Index789113",828,2241,"mainly_mouse"
"1820_Cell_Index789185",656,2171,"mainly_mouse"
"1820_Cell_Index789242",668,1919,"mainly_mouse"
"1820_Cell_Index789383",1524,4322,"mainly_mouse"
"1820_Cell_Index789471",648,1922,"mainly_mouse"
"1820_Cell_Index789491",0,1089,"unique_mouse"
"1820_Cell_Index789509",771,2339,"mainly_mouse"
"1820_Cell_Index789571",806,2417,"mainly_mouse"
"1820_Cell_Index789591",679,2061,"mainly_mouse"
"1820_Cell_Index789749",501,1577,"mainly_mouse"
"1820_Cell_Index789849",670,2023,"mainly_mouse"
"1820_Cell_Index789858",809,2619,"mainly_mouse"
"1820_Cell_Index789976",710,1845,"mainly_mouse"
"1820_Cell_Index789998",0,518,"unique_mouse"
"1820_Cell_Index790021",686,1885,"mainly_mouse"
"1820_Cell_Index790030",740,2029,"mainly_mouse"
"1820_Cell_Index790053",0,1053,"unique_mouse"
"1820_Cell_Index790061",724,2223,"mainly_mouse"
