"Cell_Index","UMIs_human","UMIs_mouse","Labels"
"1820_Cell_Index106234",986,3012,"mainly_mouse"
"1820_Cell_Index106374",0,1441,"unique_mouse"
"1820_Cell_Index106395",702,2160,"mainly_mouse"
"1820_Cell_Index106475",1847,5448,"mainly_mouse"
"1820_Cell_Index106484",855,2232,"mainly_mouse"
"1820_Cell_Index106492",829,2711,"mainly_mouse"
"1820_Cell_Index106509",1410,3933,"mainly_mouse"
"1820_Cell_Index106520",1985,5499,"mainly_mouse"
"1820_Cell_Index106561",1562,4201,"mainly_mouse"
"1820_Cell_Index106570",16440,35186,"mainly_mouse"
"1820_Cell_Index106624",1491,4032,"mainly_mouse"
"1820_Cell_Index106637",734,2169,"mainly_mouse"
"1820_Cell_Index106969",791,2280,"mainly_mouse"
"1820_Cell_Index107011",4434,13470,"mainly_mouse"
"1820_Cell_Index107302",643,1985,"mainly_mouse"
"1820_Cell_Index107364",1767,5207,"mainly_mouse"
"1820_Cell_Index107384",789,2469,"mainly_mouse"
"1820_Cell_Index107561",689,2248,"mainly_mouse"
"1820_Cell_Index107569",819,2522,"mainly_mouse"
"1820_Cell_Index107633",884,2714,"mainly_mouse"
"1820_Cell_Index107661",0,1413,"unique_mouse"
"1820_Cell_Index107666",797,2555,"mainly_mouse"
"1820_Cell_Index107776",790,2297,"mainly_mouse"
"1820_Cell_Index10783",620,1539,"mainly_mouse"
"1820_Cell_Index107872",826,2772,"mainly_mouse"
"1820_Cell_Index107879",772,2150,"mainly_mouse"
"1820_Cell_Index107882",1032,0,"unique_human"
"1820_Cell_Index1079",1014,2741,"mainly_mouse"
"1820_Cell_Index108075",687,2075,"mainly_mouse"
"1820_Cell_Index108188",2865,6801,"mainly_mouse"
"1820_Cell_Index108313",908,2767,"mainly_mouse"
"1820_Cell_Index108329",1032,3277,"mainly_mouse"
"1820_Cell_Index108427",749,2306,"mainly_mouse"
"1820_Cell_Index108482",1638,4660,"mainly_mouse"
"1820_Cell_Index108514",1067,3360,"mainly_mouse"
"1820_Cell_Index108598",576,1751,"mainly_mouse"
"1820_Cell_Index108630",1496,4353,"mainly_mouse"
"1820_Cell_Index108789",598,1881,"mainly_mouse"
"1820_Cell_Index1088",913,2907,"mainly_mouse"
"1820_Cell_Index108823",0,1638,"unique_mouse"
"1820_Cell_Index108949",813,2563,"mainly_mouse"
"1820_Cell_Index109081",716,2224,"mainly_mouse"
"1820_Cell_Index109134",874,2740,"mainly_mouse"
"1820_Cell_Index109217",1059,3107,"mainly_mouse"
"1820_Cell_Index109318",605,2181,"mainly_mouse"
"1820_Cell_Index109333",577,1877,"mainly_mouse"
"1820_Cell_Index109334",505,1475,"mainly_mouse"
"1820_Cell_Index109344",646,1940,"mainly_mouse"
"1820_Cell_Index109390",2465,0,"unique_human"
