"Cell_Index","UMIs_human"
"1820_Cell_Index114230",910
"1820_Cell_Index114448",578
"1820_Cell_Index114450",1034
"1820_Cell_Index114497",791
"1820_Cell_Index114542",668
"1820_Cell_Index114801",515
"1820_Cell_Index114849",2311
"1820_Cell_Index114949",595
"1820_Cell_Index114959",894
"1820_Cell_Index115125",755
"1820_Cell_Index11517",8172
"1820_Cell_Index115181",685
"1820_Cell_Index115238",637
"1820_Cell_Index115254",703
"1820_Cell_Index115258",943
"1820_Cell_Index115410",848
"1820_Cell_Index11550",7230
"1820_Cell_Index115535",819
"1820_Cell_Index115554",841
"1820_Cell_Index115603",832
"1820_Cell_Index115647",864
"1820_Cell_Index11566",8356
"1820_Cell_Index115696",2604
"1820_Cell_Index115929",624
"1820_Cell_Index116095",1116
"1820_Cell_Index11613",567
"1820_Cell_Index116140",911
"1820_Cell_Index116270",4463
"1820_Cell_Index116490",1379
"1820_Cell_Index116560",963
"1820_Cell_Index116728",1562
"1820_Cell_Index116857",1024
"1820_Cell_Index116858",536
"1820_Cell_Index117005",781
"1820_Cell_Index117019",779
"1820_Cell_Index117102",816
"1820_Cell_Index117144",1191
"1820_Cell_Index117150",859
"1820_Cell_Index117184",808
"1820_Cell_Index117448",1010
"1820_Cell_Index117461",1066
"1820_Cell_Index117608",833
"1820_Cell_Index117620",709
"1820_Cell_Index117635",7328
"1820_Cell_Index117680",709
"1820_Cell_Index117718",745
"1820_Cell_Index117775",2008
"1820_Cell_Index117776",6178
"1820_Cell_Index117778",571
"1820_Cell_Index117841",871
"1820_Cell_Index117916",601
"1820_Cell_Index11800",1200
"1820_Cell_Index118081",9552
"1820_Cell_Index118095",1016
"1820_Cell_Index11812",713
"1820_Cell_Index118128",877
"1820_Cell_Index118186",597
"1820_Cell_Index11821",19167
"1820_Cell_Index118384",831
"1820_Cell_Index118404",844
"1820_Cell_Index118412",577
"1820_Cell_Index118504",660
"1820_Cell_Index118661",1093
"1820_Cell_Index118821",8298
"1820_Cell_Index118829",7101
"1820_Cell_Index118886",708
"1820_Cell_Index118936",629
"1820_Cell_Index119133",1218
"1820_Cell_Index119172",641
"1820_Cell_Index119268",608
"1820_Cell_Index11929",789
"1820_Cell_Index119302",796
"1820_Cell_Index119337",668
"1820_Cell_Index119401",821
"1820_Cell_Index119633",947
"1820_Cell_Index119697",892
"1820_Cell_Index119818",1665
"1820_Cell_Index119865",828
"1820_Cell_Index119916",1243
"1820_Cell_Index12004",768
"1820_Cell_Index120103",900
"1820_Cell_Index120145",975
"1820_Cell_Index120160",694
"1820_Cell_Index12020",840
"1820_Cell_Index120202",877
"1820_Cell_Index120220",777
"1820_Cell_Index120235",668
"1820_Cell_Index120266",6383
"1820_Cell_Index120270",680
"1820_Cell_Index120430",1001
"1820_Cell_Index120591",796
"1820_Cell_Index120617",640
"1820_Cell_Index120814",745
"1820_Cell_Index120837",793
"1820_Cell_Index12122",504
"1820_Cell_Index121278",744
"1820_Cell_Index12142",999
"1820_Cell_Index121450",838
"1820_Cell_Index121457",624
"1820_Cell_Index121541",779
"1820_Cell_Index121585",566
"1820_Cell_Index12167",1079
"1820_Cell_Index121689",870
"1820_Cell_Index121701",9168
"1820_Cell_Index121737",3884
"1820_Cell_Index121744",805
"1820_Cell_Index121789",1007
"1820_Cell_Index121816",988
"1820_Cell_Index121843",1996
"1820_Cell_Index121899",734
"1820_Cell_Index122021",925
"1820_Cell_Index122023",811
"1820_Cell_Index122143",657
"1820_Cell_Index12221",741
"1820_Cell_Index122227",707
"1820_Cell_Index122374",853
"1820_Cell_Index122435",861
"1820_Cell_Index122509",1287
"1820_Cell_Index122525",581
"1820_Cell_Index122682",918
"1820_Cell_Index122906",5161
"1820_Cell_Index122951",560
"1820_Cell_Index123011",1574
"1820_Cell_Index123066",864
"1820_Cell_Index123163",1290
"1820_Cell_Index123204",756
"1820_Cell_Index123219",951
"1820_Cell_Index123257",6615
"1820_Cell_Index12333",4011
"1820_Cell_Index123350",554
"1820_Cell_Index123393",1488
"1820_Cell_Index123491",538
"1820_Cell_Index123528",7473
"1820_Cell_Index123740",1132
"1820_Cell_Index123749",776
"1820_Cell_Index123779",826
"1820_Cell_Index1238",799
"1820_Cell_Index123812",1078
"1820_Cell_Index123848",9048
"1820_Cell_Index123849",609
"1820_Cell_Index123986",1778
"1820_Cell_Index124007",740
"1820_Cell_Index124071",818
"1820_Cell_Index124309",883
"1820_Cell_Index124327",704
"1820_Cell_Index124352",776
"1820_Cell_Index124399",577
"1820_Cell_Index124526",659
"1820_Cell_Index124560",7725
"1820_Cell_Index124617",552
"1820_Cell_Index124741",1451
"1820_Cell_Index124796",1766
"1820_Cell_Index124872",899
"1820_Cell_Index124939",916
"1820_Cell_Index124954",1178
"1820_Cell_Index124986",1017
"1820_Cell_Index125208",564
"1820_Cell_Index125489",2030
"1820_Cell_Index125553",643
"1820_Cell_Index125732",789
"1820_Cell_Index125800",1014
"1820_Cell_Index125841",1018
"1820_Cell_Index125958",1218
"1820_Cell_Index12598",911
"1820_Cell_Index126014",587
"1820_Cell_Index126224",667
"1820_Cell_Index126289",1010
"1820_Cell_Index126336",795
"1820_Cell_Index126407",1057
"1820_Cell_Index126548",1100
"1820_Cell_Index126562",790
"1820_Cell_Index126639",1297
"1820_Cell_Index126806",826
"1820_Cell_Index126836",553
"1820_Cell_Index126858",4044
"1820_Cell_Index126879",1221
"1820_Cell_Index12696",542
"1820_Cell_Index126962",972
"1820_Cell_Index127416",1399
"1820_Cell_Index127566",704
"1820_Cell_Index127629",3680
"1820_Cell_Index12773",660
"1820_Cell_Index127733",675
"1820_Cell_Index127752",736
"1820_Cell_Index127800",611
"1820_Cell_Index127821",689
"1820_Cell_Index127837",502
"1820_Cell_Index127857",690
"1820_Cell_Index127883",1298
"1820_Cell_Index12794",2097
"1820_Cell_Index127965",506
"1820_Cell_Index128",952
"1820_Cell_Index128055",559
"1820_Cell_Index128135",708
"1820_Cell_Index128296",503
"1820_Cell_Index12830",629
"1820_Cell_Index128455",1262
"1820_Cell_Index128481",685
"1820_Cell_Index12859",742
"1820_Cell_Index128646",1336
"1820_Cell_Index128653",709
"1820_Cell_Index128733",5614
"1820_Cell_Index128939",8541
"1820_Cell_Index129099",686
"1820_Cell_Index1294",1081
"1820_Cell_Index129498",651
"1820_Cell_Index129549",860
"1820_Cell_Index129559",1007
"1820_Cell_Index129579",710
"1820_Cell_Index129592",9207
"1820_Cell_Index129626",1091
"1820_Cell_Index129846",699
"1820_Cell_Index130131",704
"1820_Cell_Index130202",516
"1820_Cell_Index130212",3008
"1820_Cell_Index130304",4360
"1820_Cell_Index130377",677
"1820_Cell_Index130433",731
"1820_Cell_Index130434",1585
"1820_Cell_Index130516",716
"1820_Cell_Index130537",583
"1820_Cell_Index130647",599
"1820_Cell_Index13065",1020
"1820_Cell_Index130798",871
"1820_Cell_Index130876",759
"1820_Cell_Index1309",32253
"1820_Cell_Index130938",643
"1820_Cell_Index131408",801
"1820_Cell_Index131480",1876
"1820_Cell_Index131492",1025
"1820_Cell_Index131619",750
"1820_Cell_Index131640",12476
"1820_Cell_Index131654",4605
"1820_Cell_Index131811",727
"1820_Cell_Index131820",557
"1820_Cell_Index131839",882
"1820_Cell_Index132134",665
"1820_Cell_Index132147",589
"1820_Cell_Index132161",529
"1820_Cell_Index1322",513
"1820_Cell_Index132336",972
"1820_Cell_Index132687",5703
"1820_Cell_Index132752",850
"1820_Cell_Index132893",913
"1820_Cell_Index132917",541
"1820_Cell_Index132926",6056
"1820_Cell_Index132998",1084
