"Cell_Index","UMIs_human"
"1820_Cell_Index445127",1582
"1820_Cell_Index445142",771
"1820_Cell_Index445377",611
"1820_Cell_Index445404",936
"1820_Cell_Index445472",1461
"1820_Cell_Index44555",813
"1820_Cell_Index445654",931
"1820_Cell_Index445669",3644
"1820_Cell_Index445761",600
"1820_Cell_Index445770",6952
"1820_Cell_Index445821",1405
"1820_Cell_Index445912",1348
"1820_Cell_Index446179",950
"1820_Cell_Index446274",829
"1820_Cell_Index446286",947
"1820_Cell_Index446353",10424
"1820_Cell_Index446386",1183
"1820_Cell_Index446421",895
"1820_Cell_Index446425",568
"1820_Cell_Index44644",1028
"1820_Cell_Index44654",2063
"1820_Cell_Index446626",677
"1820_Cell_Index446698",945
"1820_Cell_Index446798",754
"1820_Cell_Index446965",992
"1820_Cell_Index447014",947
"1820_Cell_Index447068",783
"1820_Cell_Index44720",1145
"1820_Cell_Index447381",1095
"1820_Cell_Index4474",5638
"1820_Cell_Index447527",689
"1820_Cell_Index44759",4735
"1820_Cell_Index447683",596
"1820_Cell_Index447920",904
"1820_Cell_Index447991",4159
"1820_Cell_Index448005",534
"1820_Cell_Index448012",9748
"1820_Cell_Index448084",859
"1820_Cell_Index448134",1154
"1820_Cell_Index448248",997
"1820_Cell_Index448359",691
"1820_Cell_Index448372",628
"1820_Cell_Index448385",634
"1820_Cell_Index44850",659
"1820_Cell_Index448510",6843
"1820_Cell_Index448525",1056
"1820_Cell_Index448655",521
"1820_Cell_Index44871",617
"1820_Cell_Index448797",535
"1820_Cell_Index448938",605
"1820_Cell_Index449030",4781
"1820_Cell_Index449172",571
"1820_Cell_Index449254",512
"1820_Cell_Index449295",929
"1820_Cell_Index449379",1099
"1820_Cell_Index449417",566
"1820_Cell_Index449419",642
"1820_Cell_Index4495",708
"1820_Cell_Index449514",652
"1820_Cell_Index449575",1091
"1820_Cell_Index449706",627
"1820_Cell_Index449915",4203
"1820_Cell_Index449954",582
"1820_Cell_Index449973",662
"1820_Cell_Index449994",1353
"1820_Cell_Index450241",4950
"1820_Cell_Index450291",3842
"1820_Cell_Index450320",574
"1820_Cell_Index450347",693
"1820_Cell_Index450478",960
"1820_Cell_Index450484",542
"1820_Cell_Index450513",568
"1820_Cell_Index450569",787
"1820_Cell_Index450623",743
"1820_Cell_Index450705",2192
"1820_Cell_Index450753",889
"1820_Cell_Index450794",686
"1820_Cell_Index450796",585
"1820_Cell_Index450850",809
"1820_Cell_Index450865",669
"1820_Cell_Index45107",1633
"1820_Cell_Index451077",5760
"1820_Cell_Index451078",605
"1820_Cell_Index451182",632
"1820_Cell_Index451227",10396
"1820_Cell_Index45125",1343
"1820_Cell_Index451256",540
"1820_Cell_Index451524",545
"1820_Cell_Index451528",9484
"1820_Cell_Index451783",877
"1820_Cell_Index4519",11776
"1820_Cell_Index45223",553
"1820_Cell_Index452397",910
"1820_Cell_Index45240",888
"1820_Cell_Index452432",6499
"1820_Cell_Index452464",6823
"1820_Cell_Index452491",1063
"1820_Cell_Index45271",1903
"1820_Cell_Index452742",6267
"1820_Cell_Index452859",1046
"1820_Cell_Index452895",741
"1820_Cell_Index45313",1073
"1820_Cell_Index453230",501
"1820_Cell_Index45327",1042
"1820_Cell_Index453323",877
"1820_Cell_Index453337",802
"1820_Cell_Index453349",7048
"1820_Cell_Index453402",1125
"1820_Cell_Index453436",1313
"1820_Cell_Index453442",4856
"1820_Cell_Index45345",782
"1820_Cell_Index453476",4688
"1820_Cell_Index453515",1254
"1820_Cell_Index453566",739
"1820_Cell_Index453657",524
"1820_Cell_Index4537",827
"1820_Cell_Index453712",2909
"1820_Cell_Index453718",837
"1820_Cell_Index453734",824
"1820_Cell_Index453741",1078
"1820_Cell_Index453968",8229
"1820_Cell_Index454012",5107
"1820_Cell_Index454055",958
"1820_Cell_Index454150",551
"1820_Cell_Index454281",1017
"1820_Cell_Index454340",3863
"1820_Cell_Index45438",765
"1820_Cell_Index454473",1171
"1820_Cell_Index454635",934
"1820_Cell_Index454665",634
"1820_Cell_Index45483",697
"1820_Cell_Index454955",1030
"1820_Cell_Index454970",580
"1820_Cell_Index454983",1134
"1820_Cell_Index455427",668
"1820_Cell_Index45553",1411
"1820_Cell_Index455559",771
"1820_Cell_Index455591",978
"1820_Cell_Index455667",1045
"1820_Cell_Index455701",8128
"1820_Cell_Index455722",878
"1820_Cell_Index455866",646
"1820_Cell_Index456002",817
"1820_Cell_Index456018",1787
"1820_Cell_Index456022",565
"1820_Cell_Index456062",781
"1820_Cell_Index456068",516
"1820_Cell_Index456221",736
"1820_Cell_Index456238",3922
"1820_Cell_Index456286",894
"1820_Cell_Index456320",901
"1820_Cell_Index456478",820
"1820_Cell_Index456483",5531
"1820_Cell_Index456576",750
"1820_Cell_Index456604",600
"1820_Cell_Index456607",5948
"1820_Cell_Index456636",628
"1820_Cell_Index456693",857
"1820_Cell_Index456891",742
"1820_Cell_Index456906",808
"1820_Cell_Index456935",813
"1820_Cell_Index457085",855
"1820_Cell_Index45711",782
"1820_Cell_Index457110",861
"1820_Cell_Index457335",823
"1820_Cell_Index457472",926
"1820_Cell_Index457478",638
"1820_Cell_Index45765",786
"1820_Cell_Index45776",924
"1820_Cell_Index457868",653
"1820_Cell_Index45790",4603
"1820_Cell_Index458085",691
"1820_Cell_Index45811",864
"1820_Cell_Index458195",794
"1820_Cell_Index458205",707
"1820_Cell_Index458269",708
"1820_Cell_Index458415",3553
"1820_Cell_Index458538",699
"1820_Cell_Index458595",622
"1820_Cell_Index45865",734
"1820_Cell_Index458695",1664
"1820_Cell_Index458796",885
"1820_Cell_Index458990",655
"1820_Cell_Index459147",786
"1820_Cell_Index45928",738
"1820_Cell_Index459329",695
"1820_Cell_Index459394",950
"1820_Cell_Index459518",519
"1820_Cell_Index459638",551
"1820_Cell_Index459651",806
"1820_Cell_Index459764",801
"1820_Cell_Index459791",1933
"1820_Cell_Index45986",552
"1820_Cell_Index459861",982
"1820_Cell_Index459906",8130
"1820_Cell_Index460056",533
"1820_Cell_Index460094",694
"1820_Cell_Index460151",1383
"1820_Cell_Index460171",699
"1820_Cell_Index460280",7955
"1820_Cell_Index460299",601
"1820_Cell_Index460317",911
"1820_Cell_Index460329",739
"1820_Cell_Index460343",962
"1820_Cell_Index460478",769
"1820_Cell_Index460524",949
"1820_Cell_Index460581",877
"1820_Cell_Index4608",683
"1820_Cell_Index460842",684
"1820_Cell_Index460969",786
"1820_Cell_Index460986",575
"1820_Cell_Index461075",737
"1820_Cell_Index46111",861
"1820_Cell_Index461123",6416
"1820_Cell_Index46123",956
"1820_Cell_Index461350",1112
"1820_Cell_Index461381",6601
"1820_Cell_Index461392",756
"1820_Cell_Index461466",686
"1820_Cell_Index461481",1001
"1820_Cell_Index461543",1042
"1820_Cell_Index46159",5792
"1820_Cell_Index461743",842
"1820_Cell_Index46175",6634
"1820_Cell_Index461857",5622
"1820_Cell_Index461947",1169
"1820_Cell_Index46199",1180
"1820_Cell_Index462140",941
"1820_Cell_Index46225",651
"1820_Cell_Index46226",707
"1820_Cell_Index462349",783
"1820_Cell_Index462482",4159
"1820_Cell_Index462519",1359
"1820_Cell_Index462703",699
"1820_Cell_Index462735",582
"1820_Cell_Index462933",803
"1820_Cell_Index462982",977
"1820_Cell_Index463028",7984
"1820_Cell_Index463107",1206
"1820_Cell_Index463147",3452
"1820_Cell_Index463156",604
"1820_Cell_Index463168",739
"1820_Cell_Index463174",857
"1820_Cell_Index463188",896
"1820_Cell_Index463237",614
"1820_Cell_Index463315",1864
"1820_Cell_Index463350",1000
"1820_Cell_Index463401",681
"1820_Cell_Index46354",808
"1820_Cell_Index46357",869
"1820_Cell_Index463701",732
"1820_Cell_Index463703",797
"1820_Cell_Index463836",767
"1820_Cell_Index463843",2427
"1820_Cell_Index463937",8695
"1820_Cell_Index464028",1147
"1820_Cell_Index464068",544
"1820_Cell_Index464296",787
"1820_Cell_Index464377",602
"1820_Cell_Index464381",1058
"1820_Cell_Index464563",768
"1820_Cell_Index464613",656
"1820_Cell_Index464618",685
"1820_Cell_Index464980",1872
"1820_Cell_Index465031",833
"1820_Cell_Index465085",643
"1820_Cell_Index465092",1100
"1820_Cell_Index465097",840
"1820_Cell_Index465146",538
"1820_Cell_Index465299",854
"1820_Cell_Index465307",1006
"1820_Cell_Index465328",866
"1820_Cell_Index465388",547
"1820_Cell_Index465400",626
"1820_Cell_Index465572",748
"1820_Cell_Index465581",4013
"1820_Cell_Index465790",762
"1820_Cell_Index465916",809
"1820_Cell_Index466004",608
"1820_Cell_Index466005",867
"1820_Cell_Index466007",725
"1820_Cell_Index466038",679
"1820_Cell_Index466094",818
"1820_Cell_Index466181",1073
"1820_Cell_Index466235",1637
"1820_Cell_Index466274",967
"1820_Cell_Index466297",600
"1820_Cell_Index46632",1278
"1820_Cell_Index466359",648
"1820_Cell_Index466386",693
"1820_Cell_Index466627",752
"1820_Cell_Index466697",526
"1820_Cell_Index466736",746
"1820_Cell_Index466776",660
"1820_Cell_Index466824",1459
"1820_Cell_Index466842",794
"1820_Cell_Index466939",514
"1820_Cell_Index467051",746
"1820_Cell_Index467066",683
"1820_Cell_Index46717",733
"1820_Cell_Index467171",1076
"1820_Cell_Index467244",1513
"1820_Cell_Index467285",919
"1820_Cell_Index467323",1135
"1820_Cell_Index467456",912
"1820_Cell_Index467538",806
"1820_Cell_Index467542",53401
"1820_Cell_Index46764",25495
"1820_Cell_Index467722",5978
"1820_Cell_Index467800",739
"1820_Cell_Index467827",1220
"1820_Cell_Index467849",699
"1820_Cell_Index467960",996
"1820_Cell_Index467996",726
"1820_Cell_Index4680",667
"1820_Cell_Index468116",1033
"1820_Cell_Index468124",638
"1820_Cell_Index468216",1261
"1820_Cell_Index468239",749
"1820_Cell_Index468263",828
"1820_Cell_Index468306",700
"1820_Cell_Index468363",1041
"1820_Cell_Index468426",1165
"1820_Cell_Index468471",903
"1820_Cell_Index468519",4564
"1820_Cell_Index46853",848
"1820_Cell_Index468574",1006
"1820_Cell_Index468587",797
"1820_Cell_Index468943",781
"1820_Cell_Index468987",699
"1820_Cell_Index469144",672
"1820_Cell_Index469201",997
"1820_Cell_Index469203",896
"1820_Cell_Index469230",795
"1820_Cell_Index469314",1898
"1820_Cell_Index46945",20038
"1820_Cell_Index469481",6177
"1820_Cell_Index469536",933
"1820_Cell_Index469714",683
"1820_Cell_Index470055",13606
"1820_Cell_Index47015",919
"1820_Cell_Index47042",740
"1820_Cell_Index470460",912
"1820_Cell_Index47058",884
"1820_Cell_Index470658",4263
"1820_Cell_Index470674",2054
"1820_Cell_Index470763",846
"1820_Cell_Index470922",4026
"1820_Cell_Index470928",914
"1820_Cell_Index471000",904
"1820_Cell_Index471209",765
"1820_Cell_Index471272",880
"1820_Cell_Index471278",586
"1820_Cell_Index471325",952
"1820_Cell_Index471335",663
"1820_Cell_Index471466",4834
"1820_Cell_Index471515",11197
"1820_Cell_Index471638",728
"1820_Cell_Index471673",600
"1820_Cell_Index471700",3849
"1820_Cell_Index471728",1113
"1820_Cell_Index47182",1160
"1820_Cell_Index472031",1320
"1820_Cell_Index472080",890
"1820_Cell_Index472105",746
"1820_Cell_Index472134",1036
"1820_Cell_Index472208",917
"1820_Cell_Index472232",811
"1820_Cell_Index472292",5274
"1820_Cell_Index472413",658
"1820_Cell_Index472505",1465
"1820_Cell_Index472564",513
"1820_Cell_Index472570",7262
"1820_Cell_Index472583",1195
"1820_Cell_Index472584",811
"1820_Cell_Index472587",8175
"1820_Cell_Index472594",718
"1820_Cell_Index472650",891
"1820_Cell_Index472697",768
"1820_Cell_Index47276",1097
"1820_Cell_Index472816",4429
"1820_Cell_Index472928",955
"1820_Cell_Index473022",604
"1820_Cell_Index473247",970
"1820_Cell_Index473254",5387
"1820_Cell_Index473341",1190
"1820_Cell_Index473370",860
"1820_Cell_Index473464",862
"1820_Cell_Index473557",785
"1820_Cell_Index473689",727
"1820_Cell_Index473699",570
"1820_Cell_Index473793",5011
"1820_Cell_Index473907",891
"1820_Cell_Index473930",1191
"1820_Cell_Index473995",577
"1820_Cell_Index473997",1385
"1820_Cell_Index47418",622
"1820_Cell_Index474442",786
"1820_Cell_Index474934",745
"1820_Cell_Index474938",677
"1820_Cell_Index475075",747
"1820_Cell_Index475113",882
"1820_Cell_Index475238",998
"1820_Cell_Index475288",661
"1820_Cell_Index475342",612
"1820_Cell_Index475411",843
"1820_Cell_Index475454",825
"1820_Cell_Index475472",1205
"1820_Cell_Index475521",691
"1820_Cell_Index475666",698
"1820_Cell_Index475690",999
"1820_Cell_Index475710",7163
"1820_Cell_Index475771",872
"1820_Cell_Index475981",671
"1820_Cell_Index476043",2029
"1820_Cell_Index476085",855
"1820_Cell_Index476087",670
"1820_Cell_Index476179",786
"1820_Cell_Index476203",10630
"1820_Cell_Index476228",719
"1820_Cell_Index476260",658
"1820_Cell_Index476310",663
"1820_Cell_Index476389",880
"1820_Cell_Index47644",580
"1820_Cell_Index476789",606
"1820_Cell_Index476869",813
"1820_Cell_Index476893",700
"1820_Cell_Index476915",540
"1820_Cell_Index476939",768
"1820_Cell_Index476983",1607
"1820_Cell_Index476990",502
"1820_Cell_Index477023",11467
"1820_Cell_Index477056",651
"1820_Cell_Index477294",893
"1820_Cell_Index477303",880
"1820_Cell_Index477311",710
"1820_Cell_Index477491",654
"1820_Cell_Index477589",934
"1820_Cell_Index477657",840
"1820_Cell_Index477697",844
"1820_Cell_Index477818",779
"1820_Cell_Index477925",3525
"1820_Cell_Index477926",631
"1820_Cell_Index478040",550
"1820_Cell_Index478068",969
"1820_Cell_Index478140",737
"1820_Cell_Index478167",503
"1820_Cell_Index478215",1805
"1820_Cell_Index478356",639
"1820_Cell_Index478422",677
"1820_Cell_Index478485",708
"1820_Cell_Index478679",669
"1820_Cell_Index478712",3206
"1820_Cell_Index478855",665
"1820_Cell_Index478857",1025
"1820_Cell_Index478896",1136
"1820_Cell_Index478946",8277
"1820_Cell_Index479034",683
"1820_Cell_Index479050",820
"1820_Cell_Index47908",710
"1820_Cell_Index479094",1656
"1820_Cell_Index479099",643
"1820_Cell_Index479149",641
"1820_Cell_Index479197",982
"1820_Cell_Index479208",2699
"1820_Cell_Index47923",988
"1820_Cell_Index479363",777
"1820_Cell_Index479432",830
"1820_Cell_Index47944",637
"1820_Cell_Index479465",945
"1820_Cell_Index47947",592
"1820_Cell_Index47953",666
"1820_Cell_Index479535",1128
"1820_Cell_Index479546",5639
"1820_Cell_Index479567",1372
"1820_Cell_Index479888",716
"1820_Cell_Index479905",655
"1820_Cell_Index479930",608
"1820_Cell_Index480056",904
"1820_Cell_Index480097",5425
"1820_Cell_Index48013",601
"1820_Cell_Index480256",734
"1820_Cell_Index480299",4970
"1820_Cell_Index480332",1459
"1820_Cell_Index480405",656
"1820_Cell_Index480506",1081
"1820_Cell_Index480517",1138
"1820_Cell_Index480693",1091
"1820_Cell_Index480705",892
"1820_Cell_Index480769",781
"1820_Cell_Index480926",681
"1820_Cell_Index480994",5629
"1820_Cell_Index481023",818
"1820_Cell_Index481161",1111
"1820_Cell_Index481173",1166
"1820_Cell_Index481178",714
"1820_Cell_Index481179",878
"1820_Cell_Index481192",1437
"1820_Cell_Index48121",790
"1820_Cell_Index481370",734
"1820_Cell_Index481374",10334
"1820_Cell_Index48142",3122
"1820_Cell_Index481512",868
"1820_Cell_Index481528",782
"1820_Cell_Index48164",951
"1820_Cell_Index481671",1440
"1820_Cell_Index481697",1263
"1820_Cell_Index481709",542
"1820_Cell_Index481879",717
"1820_Cell_Index481889",1570
"1820_Cell_Index48201",9072
"1820_Cell_Index482118",1003
"1820_Cell_Index482271",676
"1820_Cell_Index482478",668
"1820_Cell_Index482502",578
"1820_Cell_Index482558",650
"1820_Cell_Index482587",1191
"1820_Cell_Index482604",678
"1820_Cell_Index482643",629
"1820_Cell_Index482681",876
"1820_Cell_Index482693",507
"1820_Cell_Index482738",849
"1820_Cell_Index48274",8179
"1820_Cell_Index482792",591
"1820_Cell_Index48310",981
"1820_Cell_Index483165",550
"1820_Cell_Index483185",1261
"1820_Cell_Index483228",1134
"1820_Cell_Index483497",1017
"1820_Cell_Index483599",1031
"1820_Cell_Index483619",750
"1820_Cell_Index483811",918
"1820_Cell_Index483839",12355
"1820_Cell_Index483840",833
"1820_Cell_Index484054",1308
"1820_Cell_Index48421",1390
"1820_Cell_Index484216",796
"1820_Cell_Index484267",750
"1820_Cell_Index484412",1006
"1820_Cell_Index484517",970
"1820_Cell_Index484633",710
"1820_Cell_Index484662",739
"1820_Cell_Index484677",8823
"1820_Cell_Index484741",2322
"1820_Cell_Index484763",1451
"1820_Cell_Index484778",968
"1820_Cell_Index485032",577
"1820_Cell_Index485042",9564
"1820_Cell_Index485090",529
"1820_Cell_Index485163",819
"1820_Cell_Index485253",796
"1820_Cell_Index485259",964
"1820_Cell_Index485293",549
"1820_Cell_Index48538",579
"1820_Cell_Index485386",3083
"1820_Cell_Index485502",768
"1820_Cell_Index48568",592
"1820_Cell_Index486027",731
"1820_Cell_Index486084",2666
"1820_Cell_Index486223",685
"1820_Cell_Index48640",13358
"1820_Cell_Index486411",575
"1820_Cell_Index486416",990
"1820_Cell_Index486425",637
"1820_Cell_Index486495",3489
"1820_Cell_Index486605",625
"1820_Cell_Index486666",911
"1820_Cell_Index486741",751
"1820_Cell_Index486746",817
"1820_Cell_Index486824",647
"1820_Cell_Index486911",854
"1820_Cell_Index487028",8515
"1820_Cell_Index487030",895
"1820_Cell_Index487090",591
"1820_Cell_Index487214",907
"1820_Cell_Index487267",700
"1820_Cell_Index487320",1065
"1820_Cell_Index487435",655
"1820_Cell_Index487701",994
"1820_Cell_Index487759",4756
"1820_Cell_Index487890",547
"1820_Cell_Index487938",820
"1820_Cell_Index487986",5816
"1820_Cell_Index487993",848
"1820_Cell_Index488006",726
"1820_Cell_Index488045",751
"1820_Cell_Index488181",507
"1820_Cell_Index488193",615
"1820_Cell_Index48836",822
"1820_Cell_Index4884",1767
"1820_Cell_Index488511",3154
"1820_Cell_Index48861",719
"1820_Cell_Index488672",647
"1820_Cell_Index48870",785
"1820_Cell_Index488791",3782
"1820_Cell_Index489114",4002
"1820_Cell_Index48912",771
"1820_Cell_Index489177",622
"1820_Cell_Index489498",750
"1820_Cell_Index489586",534
"1820_Cell_Index489633",530
"1820_Cell_Index489651",777
"1820_Cell_Index48971",4790
"1820_Cell_Index489727",687
"1820_Cell_Index489825",738
"1820_Cell_Index489896",818
"1820_Cell_Index489937",805
"1820_Cell_Index489943",2111
"1820_Cell_Index489983",797
"1820_Cell_Index490000",908
"1820_Cell_Index490153",1189
"1820_Cell_Index490411",785
"1820_Cell_Index490421",1044
"1820_Cell_Index49058",699
"1820_Cell_Index490638",711
"1820_Cell_Index490692",3904
"1820_Cell_Index490754",905
"1820_Cell_Index490761",1013
"1820_Cell_Index490784",874
"1820_Cell_Index490870",1006
"1820_Cell_Index490959",525
"1820_Cell_Index490984",738
"1820_Cell_Index491098",18278
"1820_Cell_Index491107",1318
"1820_Cell_Index491134",752
"1820_Cell_Index491335",577
"1820_Cell_Index491413",876
"1820_Cell_Index491441",692
"1820_Cell_Index491573",740
"1820_Cell_Index4916",514
"1820_Cell_Index491691",7057
"1820_Cell_Index491708",723
"1820_Cell_Index492009",891
"1820_Cell_Index492113",815
"1820_Cell_Index492124",889
"1820_Cell_Index492143",894
"1820_Cell_Index492188",535
"1820_Cell_Index492274",513
"1820_Cell_Index492324",3613
"1820_Cell_Index492469",659
"1820_Cell_Index492510",744
"1820_Cell_Index492696",730
"1820_Cell_Index492743",585
"1820_Cell_Index492751",826
"1820_Cell_Index492753",7432
"1820_Cell_Index492760",3937
"1820_Cell_Index492782",540
"1820_Cell_Index492819",874
"1820_Cell_Index492827",802
"1820_Cell_Index492925",1490
"1820_Cell_Index492947",505
"1820_Cell_Index492978",500
"1820_Cell_Index493077",695
"1820_Cell_Index493270",552
"1820_Cell_Index493327",730
"1820_Cell_Index493406",4360
"1820_Cell_Index493413",661
"1820_Cell_Index493416",11132
"1820_Cell_Index493478",521
"1820_Cell_Index493518",597
"1820_Cell_Index493528",607
"1820_Cell_Index493545",734
"1820_Cell_Index493659",918
"1820_Cell_Index493696",1958
"1820_Cell_Index493774",3997
"1820_Cell_Index493837",616
"1820_Cell_Index493853",778
"1820_Cell_Index493935",937
"1820_Cell_Index493956",664
"1820_Cell_Index494027",1226
"1820_Cell_Index494055",644
"1820_Cell_Index494255",682
"1820_Cell_Index494306",568
"1820_Cell_Index494537",752
"1820_Cell_Index494614",547
"1820_Cell_Index494804",635
"1820_Cell_Index494982",767
"1820_Cell_Index49500",711
"1820_Cell_Index495033",4707
"1820_Cell_Index495088",6187
"1820_Cell_Index495101",674
"1820_Cell_Index495106",812
"1820_Cell_Index495107",665
"1820_Cell_Index495146",662
"1820_Cell_Index495169",669
"1820_Cell_Index495234",871
"1820_Cell_Index495318",579
"1820_Cell_Index495711",908
"1820_Cell_Index495777",679
"1820_Cell_Index495820",722
"1820_Cell_Index495836",599
"1820_Cell_Index495842",897
"1820_Cell_Index495863",623
"1820_Cell_Index496069",781
"1820_Cell_Index496172",503
"1820_Cell_Index496181",3528
"1820_Cell_Index496208",921
"1820_Cell_Index496226",776
"1820_Cell_Index49634",771
"1820_Cell_Index496375",883
"1820_Cell_Index496488",711
"1820_Cell_Index496560",1955
"1820_Cell_Index496575",764
"1820_Cell_Index496776",624
"1820_Cell_Index49688",833
"1820_Cell_Index497089",752
"1820_Cell_Index497249",638
"1820_Cell_Index497258",625
"1820_Cell_Index497275",8446
"1820_Cell_Index497517",664
"1820_Cell_Index497594",529
"1820_Cell_Index49762",594
"1820_Cell_Index497708",9086
"1820_Cell_Index497761",868
"1820_Cell_Index49777",8989
"1820_Cell_Index497780",815
"1820_Cell_Index497825",600
"1820_Cell_Index497854",844
"1820_Cell_Index497895",803
"1820_Cell_Index498118",631
"1820_Cell_Index498144",638
"1820_Cell_Index498149",975
"1820_Cell_Index498322",696
"1820_Cell_Index498326",647
"1820_Cell_Index498338",832
"1820_Cell_Index498352",521
"1820_Cell_Index498381",1828
"1820_Cell_Index498473",959
"1820_Cell_Index498558",798
"1820_Cell_Index498772",625
"1820_Cell_Index498850",1018
"1820_Cell_Index498858",1096
"1820_Cell_Index498975",1135
"1820_Cell_Index499164",823
"1820_Cell_Index499207",1243
"1820_Cell_Index499290",1231
"1820_Cell_Index499361",686
"1820_Cell_Index499396",769
"1820_Cell_Index499418",6159
"1820_Cell_Index49964",4846
"1820_Cell_Index49968",743
"1820_Cell_Index499709",9546
"1820_Cell_Index49976",728
"1820_Cell_Index499825",11731
"1820_Cell_Index499876",790
"1820_Cell_Index499886",962
"1820_Cell_Index499989",1115
"1820_Cell_Index500013",1500
"1820_Cell_Index500031",904
"1820_Cell_Index500050",638
"1820_Cell_Index500051",884
"1820_Cell_Index500069",1044
"1820_Cell_Index50010",566
"1820_Cell_Index500318",1027
"1820_Cell_Index500350",969
"1820_Cell_Index500366",769
"1820_Cell_Index500422",775
"1820_Cell_Index500722",689
"1820_Cell_Index500914",545
"1820_Cell_Index500915",868
"1820_Cell_Index501004",1145
"1820_Cell_Index50107",1056
"1820_Cell_Index50113",1140
"1820_Cell_Index501136",4947
"1820_Cell_Index501149",651
"1820_Cell_Index501168",663
"1820_Cell_Index50121",990
"1820_Cell_Index501289",847
"1820_Cell_Index501303",720
"1820_Cell_Index50139",878
"1820_Cell_Index5014",760
"1820_Cell_Index501434",526
"1820_Cell_Index501548",1004
"1820_Cell_Index501648",849
"1820_Cell_Index501660",1370
"1820_Cell_Index501742",8914
"1820_Cell_Index501769",684
"1820_Cell_Index502081",1428
"1820_Cell_Index502117",844
"1820_Cell_Index502184",542
"1820_Cell_Index502194",656
"1820_Cell_Index502248",536
"1820_Cell_Index50232",1099
"1820_Cell_Index502354",871
"1820_Cell_Index50239",847
"1820_Cell_Index502564",700
"1820_Cell_Index502663",1043
"1820_Cell_Index502817",774
"1820_Cell_Index502890",1837
"1820_Cell_Index502918",608
"1820_Cell_Index502971",5009
"1820_Cell_Index503055",594
"1820_Cell_Index503062",985
"1820_Cell_Index503117",1701
"1820_Cell_Index503140",8204
"1820_Cell_Index503173",953
"1820_Cell_Index503177",512
"1820_Cell_Index503245",833
"1820_Cell_Index503247",772
"1820_Cell_Index50325",768
"1820_Cell_Index503387",787
"1820_Cell_Index503589",1089
"1820_Cell_Index503746",878
"1820_Cell_Index503777",815
"1820_Cell_Index5038",4423
"1820_Cell_Index503887",1121
"1820_Cell_Index504070",723
"1820_Cell_Index504088",800
"1820_Cell_Index504175",1567
"1820_Cell_Index504207",699
"1820_Cell_Index504275",906
"1820_Cell_Index504297",611
"1820_Cell_Index504515",616
"1820_Cell_Index504674",929
"1820_Cell_Index504680",815
"1820_Cell_Index504707",598
"1820_Cell_Index504887",948
"1820_Cell_Index504890",651
"1820_Cell_Index504902",598
"1820_Cell_Index504952",662
"1820_Cell_Index50496",1638
"1820_Cell_Index504966",698
"1820_Cell_Index505000",3045
"1820_Cell_Index505165",775
"1820_Cell_Index505347",805
"1820_Cell_Index50548",600
"1820_Cell_Index505679",809
"1820_Cell_Index50586",1117
"1820_Cell_Index50592",850
"1820_Cell_Index506014",891
"1820_Cell_Index506028",1414
"1820_Cell_Index506074",819
"1820_Cell_Index506138",715
"1820_Cell_Index506191",870
"1820_Cell_Index506204",712
"1820_Cell_Index506221",812
"1820_Cell_Index506268",799
"1820_Cell_Index506306",1969
"1820_Cell_Index506464",500
"1820_Cell_Index506495",7598
"1820_Cell_Index506506",893
"1820_Cell_Index506617",526
"1820_Cell_Index506756",872
"1820_Cell_Index506761",7960
"1820_Cell_Index50682",767
"1820_Cell_Index506856",728
"1820_Cell_Index506873",703
"1820_Cell_Index506947",1014
"1820_Cell_Index507046",504
"1820_Cell_Index507091",6607
"1820_Cell_Index507109",645
"1820_Cell_Index507292",595
"1820_Cell_Index507294",800
"1820_Cell_Index507432",671
"1820_Cell_Index507511",995
"1820_Cell_Index507684",879
"1820_Cell_Index507743",3079
"1820_Cell_Index507769",778
"1820_Cell_Index507880",1056
"1820_Cell_Index508168",1019
"1820_Cell_Index508222",772
"1820_Cell_Index508308",830
"1820_Cell_Index508317",731
"1820_Cell_Index508428",913
"1820_Cell_Index508481",916
"1820_Cell_Index508772",839
"1820_Cell_Index508852",785
"1820_Cell_Index509064",739
"1820_Cell_Index509081",1053
"1820_Cell_Index509179",2015
"1820_Cell_Index509257",765
"1820_Cell_Index509314",1050
"1820_Cell_Index509374",3682
"1820_Cell_Index509431",883
"1820_Cell_Index509441",817
"1820_Cell_Index509528",823
"1820_Cell_Index509546",951
"1820_Cell_Index509717",660
"1820_Cell_Index50979",835
"1820_Cell_Index509830",842
"1820_Cell_Index509879",698
"1820_Cell_Index510001",972
"1820_Cell_Index5102",2762
"1820_Cell_Index510287",765
"1820_Cell_Index510304",11533
"1820_Cell_Index510329",1117
"1820_Cell_Index510349",621
"1820_Cell_Index510436",572
"1820_Cell_Index510482",699
"1820_Cell_Index510487",1668
"1820_Cell_Index510547",795
"1820_Cell_Index510604",923
"1820_Cell_Index510990",1211
"1820_Cell_Index51103",7812
"1820_Cell_Index511039",616
"1820_Cell_Index511056",1045
"1820_Cell_Index511092",1087
"1820_Cell_Index511099",850
"1820_Cell_Index511153",971
"1820_Cell_Index511189",11486
"1820_Cell_Index511200",913
"1820_Cell_Index511242",928
"1820_Cell_Index511332",657
"1820_Cell_Index51134",570
"1820_Cell_Index511449",856
"1820_Cell_Index51153",1017
"1820_Cell_Index511914",844
"1820_Cell_Index511924",4716
"1820_Cell_Index512049",700
"1820_Cell_Index512127",1041
"1820_Cell_Index512154",681
"1820_Cell_Index512359",1036
"1820_Cell_Index512370",561
