"Cell_Index","UMIs_mouse"
"1820_Cell_Index750826",1043
"1820_Cell_Index7509",538
"1820_Cell_Index751020",2519
"1820_Cell_Index751028",34927
"1820_Cell_Index751148",2583
"1820_Cell_Index751161",3935
"1820_Cell_Index751185",3265
"1820_Cell_Index751219",2031
"1820_Cell_Index751244",2800
"1820_Cell_Index751509",1889
"1820_Cell_Index751556",1818
"1820_Cell_Index751622",1148
"1820_Cell_Index751628",1715
"1820_Cell_Index751778",2274
"1820_Cell_Index751832",1611
"1820_Cell_Index751906",16848
"1820_Cell_Index751910",53304
"1820_Cell_Index752047",1597
"1820_Cell_Index752052",2915
"1820_Cell_Index752105",2456
"1820_Cell_Index752189",2146
"1820_Cell_Index752290",2539
"1820_Cell_Index752359",1640
"1820_Cell_Index752388",2879
"1820_Cell_Index752415",2176
"1820_Cell_Index752457",2353
"1820_Cell_Index752489",2167
"1820_Cell_Index752564",1898
"1820_Cell_Index752627",4385
"1820_Cell_Index752888",2302
"1820_Cell_Index752891",3204
"1820_Cell_Index752945",1100
"1820_Cell_Index752986",763
"1820_Cell_Index75302",2478
"1820_Cell_Index75319",4073
"1820_Cell_Index753224",2871
"1820_Cell_Index753234",1731
"1820_Cell_Index753301",744
"1820_Cell_Index753316",1907
"1820_Cell_Index75336",2326
"1820_Cell_Index753592",2439
"1820_Cell_Index753611",2714
"1820_Cell_Index753771",2296
"1820_Cell_Index753867",1197
"1820_Cell_Index753926",2658
"1820_Cell_Index753941",760
"1820_Cell_Index753991",3782
"1820_Cell_Index754058",2634
"1820_Cell_Index754086",1402
"1820_Cell_Index754092",2492
"1820_Cell_Index754177",1772
"1820_Cell_Index7542",2285
"1820_Cell_Index754210",1760
"1820_Cell_Index754228",535
"1820_Cell_Index754256",1994
"1820_Cell_Index754271",12046
"1820_Cell_Index754281",2248
"1820_Cell_Index754608",2908
"1820_Cell_Index754642",2226
"1820_Cell_Index754687",2452
"1820_Cell_Index754708",599
"1820_Cell_Index75473",2712
"1820_Cell_Index754747",613
"1820_Cell_Index754790",3071
"1820_Cell_Index754798",19552
"1820_Cell_Index754828",2924
"1820_Cell_Index754910",3517
"1820_Cell_Index755070",1645
"1820_Cell_Index755080",2279
"1820_Cell_Index75526",2519
"1820_Cell_Index755321",2371
"1820_Cell_Index75534",1963
"1820_Cell_Index755359",3767
"1820_Cell_Index755475",12947
"1820_Cell_Index75549",3508
"1820_Cell_Index755585",2101
"1820_Cell_Index755601",2030
"1820_Cell_Index755707",2689
"1820_Cell_Index755822",2486
"1820_Cell_Index75590",23023
"1820_Cell_Index755915",2660
"1820_Cell_Index755916",2392
"1820_Cell_Index75599",2701
"1820_Cell_Index756110",1161
"1820_Cell_Index756577",1955
"1820_Cell_Index756718",2776
"1820_Cell_Index75683",17981
"1820_Cell_Index756854",26859
"1820_Cell_Index756856",2930
"1820_Cell_Index756922",2235
"1820_Cell_Index756945",1832
"1820_Cell_Index756957",2317
"1820_Cell_Index756961",10240
"1820_Cell_Index756974",1744
"1820_Cell_Index75706",2326
"1820_Cell_Index757139",878
"1820_Cell_Index757228",1415
"1820_Cell_Index757282",13829
"1820_Cell_Index757288",2327
"1820_Cell_Index75759",1639
"1820_Cell_Index757723",2375
"1820_Cell_Index757754",1967
"1820_Cell_Index757802",16543
"1820_Cell_Index757820",3133
"1820_Cell_Index75787",2940
"1820_Cell_Index75788",2581
"1820_Cell_Index75793",1891
"1820_Cell_Index757956",2227
"1820_Cell_Index758129",2843
"1820_Cell_Index75820",2071
"1820_Cell_Index758203",4368
"1820_Cell_Index758210",2546
"1820_Cell_Index758257",2798
"1820_Cell_Index758276",16405
"1820_Cell_Index758297",2096
"1820_Cell_Index758308",1085
"1820_Cell_Index758416",1830
"1820_Cell_Index758480",951
"1820_Cell_Index758487",31273
"1820_Cell_Index758625",804
"1820_Cell_Index75867",10431
"1820_Cell_Index758829",1394
"1820_Cell_Index759037",2718
"1820_Cell_Index759071",6815
"1820_Cell_Index759167",2776
"1820_Cell_Index759272",1741
"1820_Cell_Index759344",2534
"1820_Cell_Index759411",2187
"1820_Cell_Index759422",1135
"1820_Cell_Index759447",2132
"1820_Cell_Index759455",2572
"1820_Cell_Index759532",6793
"1820_Cell_Index759610",1783
"1820_Cell_Index759619",2944
"1820_Cell_Index759645",4441
"1820_Cell_Index759665",2645
"1820_Cell_Index759769",2730
"1820_Cell_Index759792",2830
"1820_Cell_Index759794",1014
"1820_Cell_Index760181",1714
"1820_Cell_Index76021",13289
"1820_Cell_Index760329",2036
"1820_Cell_Index760342",4830
"1820_Cell_Index760378",2798
"1820_Cell_Index760464",2434
"1820_Cell_Index760479",2358
"1820_Cell_Index760669",1605
"1820_Cell_Index760717",800
"1820_Cell_Index760816",16692
"1820_Cell_Index760832",1385
"1820_Cell_Index760854",2462
"1820_Cell_Index760914",11841
"1820_Cell_Index760935",20955
"1820_Cell_Index76105",3907
"1820_Cell_Index761053",3852
"1820_Cell_Index761072",2098
"1820_Cell_Index761105",2399
"1820_Cell_Index761130",3356
"1820_Cell_Index76115",2259
"1820_Cell_Index76123",3579
"1820_Cell_Index761273",2909
"1820_Cell_Index761287",1781
"1820_Cell_Index761389",1038
"1820_Cell_Index761528",1748
"1820_Cell_Index76168",2382
"1820_Cell_Index761684",2635
"1820_Cell_Index761931",2283
"1820_Cell_Index7620",630
"1820_Cell_Index762066",1469
"1820_Cell_Index762145",3312
"1820_Cell_Index762163",2239
"1820_Cell_Index76222",1179
"1820_Cell_Index762290",7682
"1820_Cell_Index762316",2642
"1820_Cell_Index762483",2062
"1820_Cell_Index762545",637
"1820_Cell_Index762635",3128
"1820_Cell_Index762675",939
"1820_Cell_Index7627",2214
"1820_Cell_Index762739",1729
"1820_Cell_Index762752",2092
"1820_Cell_Index762772",2672
"1820_Cell_Index76284",2721
"1820_Cell_Index762841",2741
"1820_Cell_Index762925",1744
"1820_Cell_Index76311",2813
"1820_Cell_Index763165",1502
"1820_Cell_Index763407",1816
"1820_Cell_Index763464",2228
"1820_Cell_Index763483",1482
"1820_Cell_Index763538",1511
"1820_Cell_Index763550",2028
"1820_Cell_Index763649",2401
"1820_Cell_Index763697",1658
"1820_Cell_Index763745",1372
"1820_Cell_Index763778",2575
"1820_Cell_Index763842",1684
"1820_Cell_Index763957",506
"1820_Cell_Index763969",17285
"1820_Cell_Index764017",1735
"1820_Cell_Index76404",2566
"1820_Cell_Index76416",2160
"1820_Cell_Index764224",1803
"1820_Cell_Index764401",1887
"1820_Cell_Index764413",2205
"1820_Cell_Index764424",1903
"1820_Cell_Index764465",1719
"1820_Cell_Index76472",1799
"1820_Cell_Index764774",7687
"1820_Cell_Index764888",1640
"1820_Cell_Index76500",2250
"1820_Cell_Index765003",2629
"1820_Cell_Index765179",3021
"1820_Cell_Index765411",3548
"1820_Cell_Index765446",2333
"1820_Cell_Index76546",1407
"1820_Cell_Index765472",5638
"1820_Cell_Index765475",1077
"1820_Cell_Index765483",2225
"1820_Cell_Index76551",2691
"1820_Cell_Index765524",5232
"1820_Cell_Index76556",2983
"1820_Cell_Index765562",2608
"1820_Cell_Index765598",2197
"1820_Cell_Index765603",2376
"1820_Cell_Index765821",2324
"1820_Cell_Index765864",2274
"1820_Cell_Index765870",2481
"1820_Cell_Index765883",3884
"1820_Cell_Index765919",2167
"1820_Cell_Index766042",2608
"1820_Cell_Index766094",2470
"1820_Cell_Index766480",21481
"1820_Cell_Index766492",3247
"1820_Cell_Index766522",3589
"1820_Cell_Index766551",4388
"1820_Cell_Index766561",2099
"1820_Cell_Index766753",21537
"1820_Cell_Index766767",2646
"1820_Cell_Index766851",1957
"1820_Cell_Index766900",3147
"1820_Cell_Index76697",3262
"1820_Cell_Index767024",13099
"1820_Cell_Index767098",2725
"1820_Cell_Index767165",866
"1820_Cell_Index767190",2348
"1820_Cell_Index767273",2001
"1820_Cell_Index767286",2323
"1820_Cell_Index767291",3304
"1820_Cell_Index767337",1069
"1820_Cell_Index767389",2056
"1820_Cell_Index767505",7810
"1820_Cell_Index767668",2307
"1820_Cell_Index767683",3987
"1820_Cell_Index767764",21093
"1820_Cell_Index767823",1003
"1820_Cell_Index768164",2400
"1820_Cell_Index768207",3624
"1820_Cell_Index768211",2530
"1820_Cell_Index768218",1612
"1820_Cell_Index768494",1849
"1820_Cell_Index768501",2482
"1820_Cell_Index7686",5893
"1820_Cell_Index768665",643
"1820_Cell_Index768704",2029
"1820_Cell_Index768770",15783
"1820_Cell_Index768900",2407
"1820_Cell_Index768957",2942
"1820_Cell_Index768992",2589
"1820_Cell_Index769037",2025
"1820_Cell_Index76915",10863
"1820_Cell_Index769219",2184
"1820_Cell_Index769255",2732
"1820_Cell_Index769291",2648
"1820_Cell_Index769297",25159
"1820_Cell_Index769346",2331
"1820_Cell_Index769376",2431
"1820_Cell_Index76943",4112
"1820_Cell_Index769449",1436
"1820_Cell_Index769612",2785
"1820_Cell_Index769673",1106
"1820_Cell_Index7700",1563
"1820_Cell_Index77009",2793
"1820_Cell_Index770121",10663
"1820_Cell_Index77014",1598
"1820_Cell_Index770294",2170
"1820_Cell_Index770489",4428
"1820_Cell_Index770540",3618
"1820_Cell_Index770564",3793
"1820_Cell_Index770713",2294
"1820_Cell_Index770724",2041
"1820_Cell_Index770734",2511
"1820_Cell_Index770825",5708
"1820_Cell_Index770844",2460
"1820_Cell_Index770990",2013
"1820_Cell_Index771000",4035
"1820_Cell_Index771176",2353
"1820_Cell_Index771187",1772
"1820_Cell_Index771199",967
"1820_Cell_Index771257",1972
"1820_Cell_Index771335",1340
"1820_Cell_Index77140",1995
"1820_Cell_Index771483",2611
"1820_Cell_Index771578",1429
"1820_Cell_Index771584",19686
"1820_Cell_Index771715",3533
"1820_Cell_Index77172",1740
"1820_Cell_Index771780",1335
"1820_Cell_Index771951",2014
"1820_Cell_Index77198",2394
"1820_Cell_Index77200",2033
"1820_Cell_Index772076",2780
"1820_Cell_Index77208",4046
"1820_Cell_Index772172",3357
"1820_Cell_Index772180",3126
"1820_Cell_Index772217",2684
"1820_Cell_Index772326",2537
"1820_Cell_Index772343",3147
"1820_Cell_Index77240",2240
"1820_Cell_Index772423",1981
"1820_Cell_Index772538",2707
"1820_Cell_Index772725",1078
"1820_Cell_Index77279",2383
"1820_Cell_Index772794",2945
"1820_Cell_Index772901",1715
"1820_Cell_Index773000",2577
"1820_Cell_Index773135",3661
"1820_Cell_Index773200",43605
"1820_Cell_Index773235",2152
"1820_Cell_Index77330",2885
"1820_Cell_Index773306",3040
"1820_Cell_Index773426",2559
"1820_Cell_Index773498",1768
"1820_Cell_Index773580",1136
"1820_Cell_Index773595",2413
"1820_Cell_Index773713",1933
"1820_Cell_Index773718",3670
"1820_Cell_Index773725",2165
"1820_Cell_Index773733",799
"1820_Cell_Index773767",2418
"1820_Cell_Index77380",1913
"1820_Cell_Index773837",4626
"1820_Cell_Index774035",14667
"1820_Cell_Index774066",6831
"1820_Cell_Index774230",2116
"1820_Cell_Index774246",1034
"1820_Cell_Index774293",2097
"1820_Cell_Index77443",2785
"1820_Cell_Index77466",1238
"1820_Cell_Index774697",5175
"1820_Cell_Index774754",2902
"1820_Cell_Index774813",6614
"1820_Cell_Index775044",3055
"1820_Cell_Index775056",2053
"1820_Cell_Index775074",4218
"1820_Cell_Index775078",27015
"1820_Cell_Index775120",3467
"1820_Cell_Index775274",2556
"1820_Cell_Index775289",3097
"1820_Cell_Index77539",1175
"1820_Cell_Index775393",2219
"1820_Cell_Index775452",3761
"1820_Cell_Index775457",33503
"1820_Cell_Index775480",6726
"1820_Cell_Index77571",4300
"1820_Cell_Index775721",2053
"1820_Cell_Index775769",646
"1820_Cell_Index775831",2258
"1820_Cell_Index775850",6002
"1820_Cell_Index775972",18699
"1820_Cell_Index776024",1888
"1820_Cell_Index776047",688
"1820_Cell_Index776157",2915
"1820_Cell_Index776210",2045
"1820_Cell_Index776242",2859
"1820_Cell_Index776259",2218
"1820_Cell_Index77638",1856
"1820_Cell_Index776509",31310
"1820_Cell_Index776545",3592
"1820_Cell_Index776611",2577
"1820_Cell_Index77665",2862
"1820_Cell_Index776654",1888
"1820_Cell_Index776676",1890
"1820_Cell_Index776718",2764
"1820_Cell_Index776761",1657
"1820_Cell_Index776835",2573
"1820_Cell_Index776853",1481
"1820_Cell_Index776881",2261
"1820_Cell_Index776920",1815
"1820_Cell_Index776952",29057
"1820_Cell_Index777147",1698
"1820_Cell_Index777255",27487
"1820_Cell_Index777258",2215
"1820_Cell_Index777345",2408
"1820_Cell_Index777423",1941
"1820_Cell_Index777486",2172
"1820_Cell_Index777589",14856
"1820_Cell_Index777727",2812
"1820_Cell_Index777765",3885
"1820_Cell_Index777772",2430
"1820_Cell_Index777818",2113
"1820_Cell_Index777829",2388
"1820_Cell_Index777843",2232
"1820_Cell_Index777854",3226
"1820_Cell_Index778018",1784
"1820_Cell_Index778072",1921
"1820_Cell_Index778416",4206
"1820_Cell_Index778480",1530
"1820_Cell_Index778492",15381
"1820_Cell_Index77851",2762
"1820_Cell_Index778662",1868
"1820_Cell_Index778688",2541
"1820_Cell_Index778814",2979
"1820_Cell_Index778853",2750
"1820_Cell_Index77886",2421
"1820_Cell_Index778909",3162
"1820_Cell_Index778915",17237
"1820_Cell_Index778924",2892
"1820_Cell_Index778936",2728
"1820_Cell_Index778980",2866
"1820_Cell_Index779024",32329
"1820_Cell_Index779131",1822
"1820_Cell_Index779496",2415
"1820_Cell_Index779504",2448
"1820_Cell_Index779516",2714
"1820_Cell_Index77954",4610
"1820_Cell_Index779550",9645
"1820_Cell_Index779672",3159
"1820_Cell_Index779714",20734
"1820_Cell_Index779870",22825
"1820_Cell_Index779927",2105
"1820_Cell_Index779965",16263
"1820_Cell_Index780077",2483
"1820_Cell_Index780081",2067
"1820_Cell_Index780246",3278
"1820_Cell_Index780280",882
"1820_Cell_Index780282",2725
"1820_Cell_Index780413",2013
"1820_Cell_Index780451",2512
"1820_Cell_Index780519",1460
"1820_Cell_Index780547",1179
"1820_Cell_Index780586",5303
"1820_Cell_Index780650",2581
"1820_Cell_Index780686",7410
"1820_Cell_Index780713",5076
"1820_Cell_Index780736",1723
"1820_Cell_Index780748",1590
"1820_Cell_Index780810",4564
"1820_Cell_Index78093",3763
"1820_Cell_Index780972",4011
"1820_Cell_Index781012",6684
"1820_Cell_Index781019",10002
"1820_Cell_Index781511",1377
"1820_Cell_Index781688",2236
"1820_Cell_Index781689",2229
"1820_Cell_Index781710",2363
"1820_Cell_Index781822",2608
"1820_Cell_Index781974",2180
"1820_Cell_Index782042",1922
"1820_Cell_Index782057",728
"1820_Cell_Index782173",26801
"1820_Cell_Index78224",3106
"1820_Cell_Index782292",1771
"1820_Cell_Index782374",8288
"1820_Cell_Index782375",6418
"1820_Cell_Index78242",17069
"1820_Cell_Index782437",2344
"1820_Cell_Index782444",2391
"1820_Cell_Index782652",11919
"1820_Cell_Index782679",1201
"1820_Cell_Index7827",893
"1820_Cell_Index782804",2565
"1820_Cell_Index782868",2500
"1820_Cell_Index78290",5000
"1820_Cell_Index782991",2675
"1820_Cell_Index783040",2630
"1820_Cell_Index783181",2575
"1820_Cell_Index783208",1776
"1820_Cell_Index783219",2696
"1820_Cell_Index783266",2825
"1820_Cell_Index783322",2614
"1820_Cell_Index783325",2568
"1820_Cell_Index783359",2475
"1820_Cell_Index783428",1844
"1820_Cell_Index783508",2630
"1820_Cell_Index783564",2693
"1820_Cell_Index78368",12561
"1820_Cell_Index783730",9485
"1820_Cell_Index78375",2262
"1820_Cell_Index783759",2374
"1820_Cell_Index783775",2098
"1820_Cell_Index783817",2007
"1820_Cell_Index783974",1279
"1820_Cell_Index784089",1996
"1820_Cell_Index784117",2561
"1820_Cell_Index784176",2641
"1820_Cell_Index78423",5248
"1820_Cell_Index784273",929
"1820_Cell_Index784275",1359
"1820_Cell_Index784394",1327
"1820_Cell_Index784414",2509
"1820_Cell_Index784518",915
"1820_Cell_Index784562",1850
"1820_Cell_Index784622",820
"1820_Cell_Index784740",2271
"1820_Cell_Index784775",1409
"1820_Cell_Index784842",2803
"1820_Cell_Index784879",2205
"1820_Cell_Index784883",2144
"1820_Cell_Index785001",715
"1820_Cell_Index785037",1845
"1820_Cell_Index785064",1317
"1820_Cell_Index785167",2304
"1820_Cell_Index785170",2708
"1820_Cell_Index785254",10503
"1820_Cell_Index785443",16809
"1820_Cell_Index785460",1969
"1820_Cell_Index785575",2084
"1820_Cell_Index785616",2999
"1820_Cell_Index785643",2583
"1820_Cell_Index785645",2325
"1820_Cell_Index78572",5303
"1820_Cell_Index785792",2181
"1820_Cell_Index785821",2836
"1820_Cell_Index785949",1939
"1820_Cell_Index786017",5256
"1820_Cell_Index786111",9703
"1820_Cell_Index786166",1806
"1820_Cell_Index786191",1925
"1820_Cell_Index786286",1065
"1820_Cell_Index786381",1033
"1820_Cell_Index786410",9071
"1820_Cell_Index786586",1930
"1820_Cell_Index786663",2454
"1820_Cell_Index786733",4478
"1820_Cell_Index786772",2196
"1820_Cell_Index786773",1965
"1820_Cell_Index786780",1837
"1820_Cell_Index786822",13597
"1820_Cell_Index787088",2211
"1820_Cell_Index787108",1645
"1820_Cell_Index787121",1692
"1820_Cell_Index787213",2496
"1820_Cell_Index787234",728
"1820_Cell_Index787314",1820
"1820_Cell_Index787340",20142
"1820_Cell_Index787403",3983
"1820_Cell_Index787451",25999
"1820_Cell_Index787528",2082
"1820_Cell_Index787628",2279
"1820_Cell_Index787647",675
"1820_Cell_Index787690",4438
"1820_Cell_Index787756",15603
"1820_Cell_Index787770",2543
"1820_Cell_Index787772",2243
"1820_Cell_Index787811",2450
"1820_Cell_Index788003",2867
"1820_Cell_Index788113",18729
"1820_Cell_Index788114",2608
"1820_Cell_Index788127",2262
"1820_Cell_Index788320",1548
"1820_Cell_Index788467",2577
"1820_Cell_Index788514",11552
"1820_Cell_Index788596",1808
"1820_Cell_Index788678",2766
"1820_Cell_Index788760",2047
"1820_Cell_Index788818",1797
"1820_Cell_Index788822",1545
"1820_Cell_Index788862",534
"1820_Cell_Index788895",8040
"1820_Cell_Index788898",1477
"1820_Cell_Index78891",5308
"1820_Cell_Index788928",1864
"1820_Cell_Index78894",7132
"1820_Cell_Index78899",2797
"1820_Cell_Index78906",1850
"1820_Cell_Index789088",1432
"1820_Cell_Index789113",2241
"1820_Cell_Index789185",2171
"1820_Cell_Index789242",1919
"1820_Cell_Index789383",4322
"1820_Cell_Index789471",1922
"1820_Cell_Index789491",1089
"1820_Cell_Index789509",2339
"1820_Cell_Index789571",2417
"1820_Cell_Index789591",2061
"1820_Cell_Index789749",1577
"1820_Cell_Index789849",2023
"1820_Cell_Index789858",2619
"1820_Cell_Index789976",1845
"1820_Cell_Index789998",518
"1820_Cell_Index790021",1885
"1820_Cell_Index790030",2029
"1820_Cell_Index790053",1053
"1820_Cell_Index790061",2223
"1820_Cell_Index790139",1867
"1820_Cell_Index790152",1780
"1820_Cell_Index790301",5021
"1820_Cell_Index79033",1532
"1820_Cell_Index790518",2894
"1820_Cell_Index790612",2494
"1820_Cell_Index790734",1721
"1820_Cell_Index790754",1605
"1820_Cell_Index79077",1646
"1820_Cell_Index790879",1183
"1820_Cell_Index79097",15074
"1820_Cell_Index791151",2578
"1820_Cell_Index791182",2045
"1820_Cell_Index791333",1916
"1820_Cell_Index791465",1727
"1820_Cell_Index79152",2482
"1820_Cell_Index791567",29499
"1820_Cell_Index791806",1569
"1820_Cell_Index791813",2759
"1820_Cell_Index791990",2423
"1820_Cell_Index792229",1918
"1820_Cell_Index792382",3071
"1820_Cell_Index792384",1771
"1820_Cell_Index792385",8423
"1820_Cell_Index792453",1873
"1820_Cell_Index792475",2112
"1820_Cell_Index792512",1942
"1820_Cell_Index792602",1603
"1820_Cell_Index792656",4290
"1820_Cell_Index792669",4713
"1820_Cell_Index792725",2381
"1820_Cell_Index792761",2342
"1820_Cell_Index792768",2682
"1820_Cell_Index792884",12148
"1820_Cell_Index79294",5493
"1820_Cell_Index793006",2347
"1820_Cell_Index793212",2937
"1820_Cell_Index793228",2740
"1820_Cell_Index793251",2822
"1820_Cell_Index793324",1892
"1820_Cell_Index79341",2139
"1820_Cell_Index793413",2174
"1820_Cell_Index793446",2496
"1820_Cell_Index793556",2980
"1820_Cell_Index793580",33497
"1820_Cell_Index793603",2657
"1820_Cell_Index793625",1889
"1820_Cell_Index793626",993
"1820_Cell_Index793641",2669
"1820_Cell_Index793704",2839
"1820_Cell_Index793717",4672
"1820_Cell_Index793849",3251
"1820_Cell_Index793897",2991
"1820_Cell_Index793936",2384
"1820_Cell_Index793986",2412
"1820_Cell_Index794009",2019
"1820_Cell_Index794047",1153
"1820_Cell_Index794203",2207
"1820_Cell_Index79422",1524
"1820_Cell_Index794319",507
"1820_Cell_Index794535",27281
"1820_Cell_Index794694",1721
"1820_Cell_Index794806",2422
"1820_Cell_Index794838",2964
"1820_Cell_Index794982",2072
"1820_Cell_Index795022",11413
"1820_Cell_Index795102",2712
"1820_Cell_Index795135",805
"1820_Cell_Index795174",2846
"1820_Cell_Index795260",3197
"1820_Cell_Index795290",2154
"1820_Cell_Index795333",2774
"1820_Cell_Index795492",24760
"1820_Cell_Index795680",1145
"1820_Cell_Index795843",1799
"1820_Cell_Index795881",2328
"1820_Cell_Index79594",2481
"1820_Cell_Index795997",2319
"1820_Cell_Index796179",1089
"1820_Cell_Index796209",2572
"1820_Cell_Index796287",3112
"1820_Cell_Index796331",2878
"1820_Cell_Index796393",2578
"1820_Cell_Index796396",2748
"1820_Cell_Index796399",2410
"1820_Cell_Index796406",1113
"1820_Cell_Index796444",1813
"1820_Cell_Index796605",3070
"1820_Cell_Index79665",1551
"1820_Cell_Index796729",2109
"1820_Cell_Index79678",2079
"1820_Cell_Index796793",2501
"1820_Cell_Index796858",1751
"1820_Cell_Index79689",18374
"1820_Cell_Index796927",2128
"1820_Cell_Index796996",1816
"1820_Cell_Index797049",1347
"1820_Cell_Index797071",2327
"1820_Cell_Index79712",2201
"1820_Cell_Index797124",2764
"1820_Cell_Index797163",516
"1820_Cell_Index797428",3051
"1820_Cell_Index797430",3175
"1820_Cell_Index797454",1807
"1820_Cell_Index797484",1702
"1820_Cell_Index797504",22188
"1820_Cell_Index797525",14209
"1820_Cell_Index797610",2753
"1820_Cell_Index797733",1834
"1820_Cell_Index797766",2747
"1820_Cell_Index797802",1781
"1820_Cell_Index797842",1976
"1820_Cell_Index797899",1790
"1820_Cell_Index797939",2482
"1820_Cell_Index797994",3126
"1820_Cell_Index798000",2835
"1820_Cell_Index798023",1863
"1820_Cell_Index798082",3082
"1820_Cell_Index798094",3100
"1820_Cell_Index798158",2847
"1820_Cell_Index798180",2546
"1820_Cell_Index798241",5460
"1820_Cell_Index79827",2500
"1820_Cell_Index798297",2035
"1820_Cell_Index798331",2159
"1820_Cell_Index798420",2506
"1820_Cell_Index798519",2996
"1820_Cell_Index798528",968
"1820_Cell_Index798534",4544
"1820_Cell_Index798555",875
"1820_Cell_Index798610",2957
"1820_Cell_Index798613",2187
"1820_Cell_Index798818",1500
"1820_Cell_Index798893",1663
"1820_Cell_Index79895",2151
"1820_Cell_Index798973",1841
"1820_Cell_Index799014",1212
"1820_Cell_Index799190",3633
"1820_Cell_Index799273",2149
"1820_Cell_Index799288",23679
"1820_Cell_Index799358",2760
"1820_Cell_Index799410",1593
"1820_Cell_Index799611",2478
"1820_Cell_Index799717",17801
"1820_Cell_Index799757",564
"1820_Cell_Index799799",2804
"1820_Cell_Index799803",7005
"1820_Cell_Index799842",2237
"1820_Cell_Index79997",1932
"1820_Cell_Index799984",2892
"1820_Cell_Index800011",2737
"1820_Cell_Index800087",1395
"1820_Cell_Index800174",1354
"1820_Cell_Index800195",3575
"1820_Cell_Index80021",2655
"1820_Cell_Index800219",10076
"1820_Cell_Index800360",1140
"1820_Cell_Index800397",4645
"1820_Cell_Index800503",3097
"1820_Cell_Index800593",2197
"1820_Cell_Index800656",1951
"1820_Cell_Index800745",2477
"1820_Cell_Index800820",1924
"1820_Cell_Index800831",2041
"1820_Cell_Index800896",2032
"1820_Cell_Index80091",1418
"1820_Cell_Index800916",2511
"1820_Cell_Index800951",3494
"1820_Cell_Index800968",4545
"1820_Cell_Index80108",1682
"1820_Cell_Index801138",2432
"1820_Cell_Index801173",1244
"1820_Cell_Index801305",2491
"1820_Cell_Index801329",5980
"1820_Cell_Index801331",1538
"1820_Cell_Index801418",2511
"1820_Cell_Index801528",2622
"1820_Cell_Index801559",2376
"1820_Cell_Index801583",2026
"1820_Cell_Index801602",2251
"1820_Cell_Index801775",2152
"1820_Cell_Index801788",2115
"1820_Cell_Index801880",3720
"1820_Cell_Index801957",1729
"1820_Cell_Index802143",2811
"1820_Cell_Index802170",2538
"1820_Cell_Index802261",2224
"1820_Cell_Index802284",4565
"1820_Cell_Index802296",9654
"1820_Cell_Index802311",2115
"1820_Cell_Index802402",2905
"1820_Cell_Index802506",3164
"1820_Cell_Index802563",1538
"1820_Cell_Index802594",3199
"1820_Cell_Index80270",9199
"1820_Cell_Index802724",1773
"1820_Cell_Index802765",18337
"1820_Cell_Index802784",2619
"1820_Cell_Index802996",2445
"1820_Cell_Index803046",2584
"1820_Cell_Index803050",2762
"1820_Cell_Index80309",2540
"1820_Cell_Index8031",2743
"1820_Cell_Index803100",10996
"1820_Cell_Index803250",1936
"1820_Cell_Index80326",24325
"1820_Cell_Index803290",3020
"1820_Cell_Index803336",2430
"1820_Cell_Index80347",3130
"1820_Cell_Index8036",2026
"1820_Cell_Index803602",3194
"1820_Cell_Index80362",1754
"1820_Cell_Index803650",2955
"1820_Cell_Index80372",5827
"1820_Cell_Index803968",5196
"1820_Cell_Index803970",2469
"1820_Cell_Index804140",1724
"1820_Cell_Index804159",10936
"1820_Cell_Index804280",1935
"1820_Cell_Index804342",2606
"1820_Cell_Index804392",1679
"1820_Cell_Index804453",2276
"1820_Cell_Index804499",2230
"1820_Cell_Index80450",828
"1820_Cell_Index804583",24974
"1820_Cell_Index804712",2317
"1820_Cell_Index80472",13551
"1820_Cell_Index804729",1670
"1820_Cell_Index804774",1849
"1820_Cell_Index804805",2415
"1820_Cell_Index804817",2118
"1820_Cell_Index804841",1849
"1820_Cell_Index804884",23100
"1820_Cell_Index804905",1732
"1820_Cell_Index804983",1575
"1820_Cell_Index805076",853
"1820_Cell_Index805213",1394
"1820_Cell_Index805423",24061
"1820_Cell_Index805463",2046
"1820_Cell_Index805480",2180
"1820_Cell_Index805582",6042
"1820_Cell_Index805622",1451
"1820_Cell_Index805984",1892
"1820_Cell_Index806001",2995
"1820_Cell_Index806038",1995
"1820_Cell_Index806102",3342
"1820_Cell_Index806181",1089
"1820_Cell_Index80620",2952
"1820_Cell_Index806319",2096
"1820_Cell_Index806335",2441
"1820_Cell_Index80648",2310
"1820_Cell_Index806544",2203
"1820_Cell_Index806589",2554
"1820_Cell_Index806747",2087
"1820_Cell_Index806824",2264
"1820_Cell_Index806918",1338
"1820_Cell_Index806955",1937
"1820_Cell_Index807176",1506
"1820_Cell_Index807181",2887
"1820_Cell_Index807311",3127
"1820_Cell_Index807319",1927
"1820_Cell_Index807346",8214
"1820_Cell_Index807364",5862
"1820_Cell_Index807427",1574
"1820_Cell_Index807466",19696
"1820_Cell_Index807516",17723
"1820_Cell_Index807529",2315
"1820_Cell_Index80753",1792
"1820_Cell_Index807548",2690
"1820_Cell_Index807629",1830
"1820_Cell_Index807633",1273
"1820_Cell_Index807951",3101
"1820_Cell_Index807985",7031
"1820_Cell_Index808000",2274
"1820_Cell_Index808020",3407
"1820_Cell_Index808074",2918
"1820_Cell_Index808114",3249
"1820_Cell_Index808126",2843
"1820_Cell_Index808139",2379
"1820_Cell_Index80818",1692
"1820_Cell_Index808184",1641
