"Cell_Index","UMIs_mouse"
"1820_Cell_Index111714",25663
"1820_Cell_Index111812",2447
"1820_Cell_Index111835",4401
"1820_Cell_Index112004",17580
"1820_Cell_Index112150",2056
"1820_Cell_Index112385",2010
"1820_Cell_Index112492",2663
"1820_Cell_Index112544",3004
"1820_Cell_Index11267",1905
"1820_Cell_Index112749",2716
"1820_Cell_Index112782",2359
"1820_Cell_Index112927",3019
"1820_Cell_Index113088",2426
"1820_Cell_Index113134",2163
"1820_Cell_Index113150",3196
"1820_Cell_Index11317",2105
"1820_Cell_Index113246",1156
"1820_Cell_Index113299",4724
"1820_Cell_Index113362",2235
"1820_Cell_Index113372",2437
"1820_Cell_Index113451",2971
"1820_Cell_Index113480",933
"1820_Cell_Index113518",2577
"1820_Cell_Index113587",41950
"1820_Cell_Index113603",25505
"1820_Cell_Index113979",2314
"1820_Cell_Index114055",1645
"1820_Cell_Index11408",16539
"1820_Cell_Index11409",2505
"1820_Cell_Index114174",1317
"1820_Cell_Index114190",2450
"1820_Cell_Index114230",2710
"1820_Cell_Index114448",1803
"1820_Cell_Index114450",3099
"1820_Cell_Index114497",2666
"1820_Cell_Index114542",2404
"1820_Cell_Index114801",1570
"1820_Cell_Index114949",1898
"1820_Cell_Index114959",2567
"1820_Cell_Index115125",2036
"1820_Cell_Index11517",18522
"1820_Cell_Index115181",1941
"1820_Cell_Index115238",2085
"1820_Cell_Index115254",2369
"1820_Cell_Index115258",2780
"1820_Cell_Index11550",17231
"1820_Cell_Index115535",2656
"1820_Cell_Index115554",2479
"1820_Cell_Index115603",2630
"1820_Cell_Index115647",2485
"1820_Cell_Index11566",20511
"1820_Cell_Index115696",7741
"1820_Cell_Index115819",714
"1820_Cell_Index115929",2009
"1820_Cell_Index116095",3175
"1820_Cell_Index11613",1888
"1820_Cell_Index116140",2984
"1820_Cell_Index116270",12662
"1820_Cell_Index116560",3126
"1820_Cell_Index116618",1204
"1820_Cell_Index116728",4849
"1820_Cell_Index116857",2817
"1820_Cell_Index116858",1438
"1820_Cell_Index117005",2415
"1820_Cell_Index117019",2603
"1820_Cell_Index117102",2634
"1820_Cell_Index117144",3018
"1820_Cell_Index117150",2521
"1820_Cell_Index117184",2300
"1820_Cell_Index117406",1234
"1820_Cell_Index117448",2600
"1820_Cell_Index117461",3033
"1820_Cell_Index117608",2558
"1820_Cell_Index117620",2342
"1820_Cell_Index117635",17813
"1820_Cell_Index117680",2384
"1820_Cell_Index117718",2349
"1820_Cell_Index117722",719
"1820_Cell_Index117775",5312
"1820_Cell_Index117776",14565
"1820_Cell_Index117778",1830
"1820_Cell_Index117841",2846
"1820_Cell_Index117916",1843
"1820_Cell_Index11800",3353
"1820_Cell_Index118081",23709
"1820_Cell_Index118095",2956
"1820_Cell_Index11812",2008
"1820_Cell_Index118128",2310
"1820_Cell_Index118186",1874
"1820_Cell_Index11821",43891
"1820_Cell_Index118384",2477
"1820_Cell_Index118404",2464
"1820_Cell_Index118412",1617
"1820_Cell_Index118504",2084
"1820_Cell_Index118661",3309
"1820_Cell_Index118821",20274
"1820_Cell_Index118829",16896
"1820_Cell_Index118886",1999
"1820_Cell_Index118936",1819
"1820_Cell_Index119133",3901
"1820_Cell_Index119172",2019
"1820_Cell_Index119268",1966
"1820_Cell_Index11929",2095
"1820_Cell_Index119302",2674
"1820_Cell_Index119337",1754
"1820_Cell_Index119401",2768
"1820_Cell_Index119604",947
"1820_Cell_Index119633",2646
"1820_Cell_Index119697",2910
"1820_Cell_Index119801",1548
"1820_Cell_Index119865",2199
"1820_Cell_Index119916",3567
"1820_Cell_Index12004",1982
"1820_Cell_Index120103",2525
"1820_Cell_Index120145",2953
"1820_Cell_Index120160",1985
"1820_Cell_Index12020",2549
"1820_Cell_Index120202",2655
"1820_Cell_Index120220",2786
"1820_Cell_Index120235",2132
"1820_Cell_Index120266",15295
"1820_Cell_Index120270",1927
"1820_Cell_Index120430",2895
"1820_Cell_Index120591",2571
"1820_Cell_Index120617",1689
"1820_Cell_Index120814",2035
"1820_Cell_Index120837",2256
"1820_Cell_Index121062",1386
"1820_Cell_Index12122",1573
"1820_Cell_Index121278",2297
"1820_Cell_Index121331",640
"1820_Cell_Index12142",2791
"1820_Cell_Index121450",2615
"1820_Cell_Index121457",1925
"1820_Cell_Index121541",2230
"1820_Cell_Index121585",1790
"1820_Cell_Index12167",3250
"1820_Cell_Index121689",2495
"1820_Cell_Index121701",21625
"1820_Cell_Index121737",9285
"1820_Cell_Index121744",2437
"1820_Cell_Index121789",3087
"1820_Cell_Index121816",2663
"1820_Cell_Index121843",6319
"1820_Cell_Index121899",2147
"1820_Cell_Index122021",2708
"1820_Cell_Index122023",2365
"1820_Cell_Index122143",2024
"1820_Cell_Index12221",2319
"1820_Cell_Index122227",2207
"1820_Cell_Index122248",1022
"1820_Cell_Index122374",2384
"1820_Cell_Index122395",1316
"1820_Cell_Index122435",2324
"1820_Cell_Index122509",4218
"1820_Cell_Index122525",1530
"1820_Cell_Index122682",2474
"1820_Cell_Index122906",11544
"1820_Cell_Index122951",1853
"1820_Cell_Index123011",4609
"1820_Cell_Index123066",2401
"1820_Cell_Index123135",1535
"1820_Cell_Index123163",4288
"1820_Cell_Index123204",2120
"1820_Cell_Index123219",2800
"1820_Cell_Index123257",14809
"1820_Cell_Index12333",10277
"1820_Cell_Index123350",1556
"1820_Cell_Index123393",4309
"1820_Cell_Index123491",1525
"1820_Cell_Index123528",19068
"1820_Cell_Index123740",3160
"1820_Cell_Index123749",2249
"1820_Cell_Index123779",2401
"1820_Cell_Index1238",2494
"1820_Cell_Index123812",3372
"1820_Cell_Index123848",21944
"1820_Cell_Index123849",1804
"1820_Cell_Index123986",5490
"1820_Cell_Index124007",1826
"1820_Cell_Index124071",2277
"1820_Cell_Index124249",1300
"1820_Cell_Index124309",2511
"1820_Cell_Index124327",2106
"1820_Cell_Index124352",2308
"1820_Cell_Index124399",1946
"1820_Cell_Index124526",2004
"1820_Cell_Index124560",18333
"1820_Cell_Index124617",1533
"1820_Cell_Index124796",5558
"1820_Cell_Index124872",2801
"1820_Cell_Index124939",2551
"1820_Cell_Index124954",3652
"1820_Cell_Index124986",2574
"1820_Cell_Index125208",1737
"1820_Cell_Index125489",4797
"1820_Cell_Index125553",1894
"1820_Cell_Index125707",33403
"1820_Cell_Index125732",2322
"1820_Cell_Index125800",3064
"1820_Cell_Index125841",2662
"1820_Cell_Index125958",3684
"1820_Cell_Index12598",2997
"1820_Cell_Index126014",2088
"1820_Cell_Index126224",2163
"1820_Cell_Index126289",3106
"1820_Cell_Index126336",2459
"1820_Cell_Index126407",2864
"1820_Cell_Index126548",3493
"1820_Cell_Index126562",2198
"1820_Cell_Index126639",3893
"1820_Cell_Index12673",1258
"1820_Cell_Index126806",2474
"1820_Cell_Index126836",1672
"1820_Cell_Index126858",10384
"1820_Cell_Index126879",3087
"1820_Cell_Index12696",1466
"1820_Cell_Index126962",3083
"1820_Cell_Index127416",4101
"1820_Cell_Index127566",2139
"1820_Cell_Index127629",10724
"1820_Cell_Index12773",2051
"1820_Cell_Index127733",2036
"1820_Cell_Index127752",2366
"1820_Cell_Index127800",1857
"1820_Cell_Index127821",1975
"1820_Cell_Index127837",1575
"1820_Cell_Index127857",2058
"1820_Cell_Index127883",3819
"1820_Cell_Index127898",680
"1820_Cell_Index12794",5007
"1820_Cell_Index127965",1593
"1820_Cell_Index128",3004
"1820_Cell_Index128055",1918
"1820_Cell_Index128135",1898
"1820_Cell_Index128296",1593
"1820_Cell_Index12830",1754
"1820_Cell_Index128455",3505
"1820_Cell_Index128481",2117
"1820_Cell_Index12859",2074
"1820_Cell_Index128646",3682
"1820_Cell_Index128733",13992
"1820_Cell_Index128939",21580
"1820_Cell_Index129099",1942
"1820_Cell_Index129167",1146
"1820_Cell_Index1294",2987
"1820_Cell_Index129498",1743
"1820_Cell_Index129549",2529
"1820_Cell_Index129559",2880
"1820_Cell_Index129579",1930
"1820_Cell_Index129584",1217
"1820_Cell_Index129592",20325
"1820_Cell_Index129626",3204
"1820_Cell_Index129846",2171
"1820_Cell_Index130131",2264
"1820_Cell_Index130202",1478
"1820_Cell_Index130212",8795
"1820_Cell_Index130246",792
"1820_Cell_Index130304",9589
"1820_Cell_Index130377",2018
"1820_Cell_Index130433",1904
"1820_Cell_Index130434",4397
"1820_Cell_Index130516",1915
"1820_Cell_Index130537",1684
"1820_Cell_Index130647",1898
"1820_Cell_Index13065",2936
"1820_Cell_Index130798",2913
"1820_Cell_Index130876",2390
"1820_Cell_Index1309",69695
"1820_Cell_Index130938",1890
"1820_Cell_Index131408",2455
"1820_Cell_Index131480",5421
"1820_Cell_Index131492",2846
"1820_Cell_Index131505",1122
"1820_Cell_Index131584",642
"1820_Cell_Index131619",2192
"1820_Cell_Index131640",26436
"1820_Cell_Index131654",10961
"1820_Cell_Index131811",2387
"1820_Cell_Index131820",1565
"1820_Cell_Index131839",2600
"1820_Cell_Index132134",2068
"1820_Cell_Index132147",1741
"1820_Cell_Index132161",1527
"1820_Cell_Index1322",1333
"1820_Cell_Index132336",2923
"1820_Cell_Index132659",1216
"1820_Cell_Index132687",14108
"1820_Cell_Index132752",2502
"1820_Cell_Index132893",2900
"1820_Cell_Index132917",1519
"1820_Cell_Index132998",3396
"1820_Cell_Index133072",1767
