####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-01-21 02:35:02
## Sample: 7272
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
A1BG-AS1,low_depth,3,3,1.0,3,1.0,0.0
A1CF,low_depth,4,3,1.33,3,1.33,2.0
A2M,pass,79,7,11.29,6,13.17,25.33
A2M-AS1,low_depth,5,5,1.0,5,1.0,0.0
A2ML1,pass,791,56,14.12,43,18.4,25.13
A4GALT,pass,47,7,6.71,5,9.4,22.0
AA06,low_depth,1,1,1.0,1,1.0,0.0
AAAS,pass,230,16,14.38,13,17.69,25.11
AACS,pass,88,13,6.77,11,8.0,20.25
AADACL3,low_depth,2,1,2.0,1,2.0,2.0
AADACP1,pass,5,3,1.67,2,2.5,4.0
AADAT,low_depth,1,1,1.0,1,1.0,0.0
AAGAB,pass,236,21,11.24,17,13.88,17.85
AAK1,pass,119,24,4.96,21,5.67,13.25
AAMDC,pass,114,9,12.67,9,12.67,27.25
AAMP,pass,1974,167,11.82,127,15.54,22.99
AAR2,pass,65,7,9.29,4,16.25,21.33
AARD,low_depth,3,3,1.0,3,1.0,0.0
AARS,pass,178,18,9.89,15,11.87,24.29
AARS2,pass,6,1,6.0,1,6.0,6.0
AASDH,pass,131,10,13.1,9,14.56,21.33
AASDHPPT,pass,353,39,9.05,34,10.38,14.29
AASS,pass,49,5,9.8,3,16.33,16.33
AATBC,pass,48,3,16.0,3,16.0,46.0
AATF,pass,123,6,20.5,6,20.5,24.4
AATK,pass,64,8,8.0,8,8.0,10.33
AB015752.1,low_depth,1,1,1.0,1,1.0,0.0
ABALON,low_depth,2,2,1.0,2,1.0,0.0
ABAT,pass,87,15,5.8,15,5.8,19.0
ABCA1,pass,4406,319,13.81,251,17.55,22.2
ABCA10,pass,85,5,17.0,4,21.25,41.5
ABCA12,pass,34,3,11.33,2,17.0,17.0
ABCA13,pass,7,4,1.75,4,1.75,4.0
ABCA2,pass,17,6,2.83,6,2.83,12.0
ABCA4,low_depth,1,1,1.0,1,1.0,0.0
ABCA5,pass,193,21,9.19,17,11.35,20.56
ABCA6,pass,127,19,6.68,15,8.47,17.0
ABCA7,low_depth,2,2,1.0,2,1.0,0.0
ABCA8,pass,71,19,3.74,18,3.94,9.83
ABCA9,low_depth,10,5,2.0,5,2.0,3.5
ABCA9-AS1,low_depth,1,1,1.0,1,1.0,0.0
ABCB1,pass,63,7,9.0,7,9.0,10.33
ABCB10,pass,96,10,9.6,9,10.67,22.75
ABCB11,low_depth,11,11,1.0,11,1.0,0.0
ABCB4,pass,61,10,6.1,10,6.1,18.0
ABCB5,low_depth,1,1,1.0,1,1.0,0.0
ABCB7,pass,191,15,12.73,11,17.36,19.0
ABCB8,pass,47,7,6.71,6,7.83,11.25
ABCB9,pass,76,5,15.2,5,15.2,24.67
ABCC1,pass,407,34,11.97,26,15.65,26.4
ABCC10,pass,14,3,4.67,2,7.0,13.0
ABCC11,pass,215,14,15.36,9,23.89,35.33
ABCC12,pass,22,7,3.14,6,3.67,5.0
ABCC13,low_depth,6,6,1.0,6,1.0,0.0
ABCC2,pass,28,4,7.0,3,9.33,26.0
ABCC3,pass,49,8,6.12,6,8.17,15.33
ABCC4,pass,67,6,11.17,4,16.75,32.5
ABCC5,pass,773,60,12.88,46,16.8,23.03
ABCC9,pass,29,6,4.83,6,4.83,8.67
ABCD1,low_depth,11,10,1.1,10,1.1,2.0
ABCD1P2,low_depth,2,2,1.0,2,1.0,0.0
ABCD2,pass,10,3,3.33,3,3.33,8.0
ABCD3,pass,263,30,8.77,28,9.39,14.82
ABCD4,pass,87,7,12.43,6,14.5,28.0
ABCE1,pass,606,55,11.02,43,14.09,20.41
ABCF1,pass,268,28,9.57,26,10.31,17.13
ABCF2,pass,83,10,8.3,10,8.3,13.17
ABCF3,pass,75,3,25.0,2,37.5,37.5
ABCG1,pass,38,11,3.45,10,3.8,15.0
ABCG2,pass,47,11,4.27,11,4.27,8.2
ABCG4,pass,50,3,16.67,3,16.67,24.5
ABCG8,low_depth,3,3,1.0,3,1.0,0.0
ABHD1,pass,18,3,6.0,3,6.0,16.0
ABHD10,pass,152,13,11.69,9,16.89,21.43
ABHD11,pass,13,4,3.25,4,3.25,10.0
ABHD12,pass,133,23,5.78,22,6.05,13.33
ABHD12B,low_depth,3,3,1.0,3,1.0,0.0
ABHD13,pass,24,6,4.0,6,4.0,10.0
ABHD14A,low_depth,1,1,1.0,1,1.0,0.0
ABHD14B,pass,29,6,4.83,5,5.8,13.0
ABHD15,pass,7,4,1.75,4,1.75,4.0
ABHD15-AS1,low_depth,2,1,2.0,1,2.0,2.0
