####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-01-20 21:58:40
## Sample: 7271
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
A1BG-AS1,low_depth,8,6,1.33,6,1.33,3.0
A1CF,pass,17,14,1.21,14,1.21,4.0
A2M,pass,811,173,4.69,154,5.27,6.57
A2M-AS1,low_depth,41,41,1.0,41,1.0,0.0
A2ML1,low_depth,4,4,1.0,4,1.0,0.0
A2ML1-AS1,low_depth,3,3,1.0,3,1.0,0.0
A2MP1,low_depth,1,1,1.0,1,1.0,0.0
A3GALT2,low_depth,1,1,1.0,1,1.0,0.0
A4GALT,pass,16,6,2.67,5,3.2,6.5
AAAS,pass,664,134,4.96,121,5.49,7.87
AACS,pass,119,23,5.17,21,5.67,9.91
AACSP1,low_depth,2,2,1.0,2,1.0,0.0
AADAC,pass,6,1,6.0,1,6.0,6.0
AADACL4,low_depth,1,1,1.0,1,1.0,0.0
AADACP1,pass,38,13,2.92,9,4.22,5.14
AADAT,low_depth,6,5,1.2,5,1.2,2.0
AAGAB,pass,786,136,5.78,122,6.44,8.63
AAK1,pass,457,105,4.35,103,4.44,7.1
AAMDC,pass,85,25,3.4,24,3.54,7.1
AAMP,pass,5475,979,5.59,872,6.28,7.53
AAR2,pass,372,65,5.72,60,6.2,7.93
AARD,low_depth,5,5,1.0,5,1.0,0.0
AARS,pass,321,63,5.1,57,5.63,7.6
AARS2,pass,27,6,4.5,5,5.4,12.0
AARSD1,pass,5,2,2.5,2,2.5,4.0
AASDH,pass,362,76,4.76,69,5.25,6.86
AASDHPPT,pass,1698,370,4.59,341,4.98,6.68
AASS,pass,187,43,4.35,40,4.68,6.88
AATBC,pass,29,5,5.8,4,7.25,7.25
AATF,pass,581,103,5.64,92,6.32,8.19
AATK,pass,67,17,3.94,17,3.94,4.85
ABALON,low_depth,3,3,1.0,3,1.0,0.0
ABAT,low_depth,10,9,1.11,9,1.11,2.0
ABCA1,pass,12621,2323,5.43,2071,6.09,7.32
ABCA10,low_depth,7,7,1.0,7,1.0,0.0
ABCA11P,pass,12,4,3.0,4,3.0,5.0
ABCA12,pass,120,25,4.8,25,4.8,5.75
ABCA13,low_depth,11,10,1.1,10,1.1,2.0
ABCA17P,low_depth,2,2,1.0,2,1.0,0.0
ABCA2,pass,36,15,2.4,15,2.4,5.2
ABCA3,low_depth,6,6,1.0,6,1.0,0.0
ABCA4,low_depth,4,4,1.0,4,1.0,0.0
ABCA5,pass,423,113,3.74,104,4.07,6.15
ABCA6,pass,652,199,3.28,191,3.41,5.39
ABCA7,low_depth,13,10,1.3,9,1.44,2.33
ABCA8,pass,38,11,3.45,11,3.45,6.4
ABCA9,low_depth,39,19,2.05,19,2.05,3.86
ABCA9-AS1,low_depth,8,3,2.67,3,2.67,3.5
ABCB1,pass,143,50,2.86,47,3.04,4.1
ABCB10,pass,254,52,4.88,46,5.52,6.47
ABCB11,low_depth,8,8,1.0,8,1.0,0.0
ABCB4,pass,22,12,1.83,12,1.83,6.0
ABCB5,low_depth,8,3,2.67,3,2.67,3.5
ABCB7,pass,705,142,4.96,126,5.6,6.79
ABCB8,pass,434,100,4.34,93,4.67,6.25
ABCB9,pass,56,23,2.43,23,2.43,9.25
ABCC1,pass,566,114,4.96,108,5.24,6.95
ABCC10,pass,75,25,3.0,24,3.12,4.64
ABCC11,pass,307,51,6.02,41,7.49,9.58
ABCC12,low_depth,153,63,2.43,62,2.47,3.84
ABCC13,low_depth,14,13,1.08,13,1.08,2.0
ABCC2,low_depth,21,19,1.11,19,1.11,2.0
ABCC3,low_depth,6,6,1.0,6,1.0,0.0
ABCC4,pass,83,33,2.52,33,2.52,4.57
ABCC5,pass,669,145,4.61,137,4.88,6.32
ABCC6,low_depth,1,1,1.0,1,1.0,0.0
ABCC6P2,pass,9,1,9.0,1,9.0,9.0
ABCC8,low_depth,13,5,2.6,5,2.6,3.67
ABCC9,pass,210,53,3.96,51,4.12,8.23
ABCD1,pass,94,33,2.85,31,3.03,6.25
ABCD1P2,low_depth,6,6,1.0,6,1.0,0.0
ABCD2,pass,82,21,3.9,20,4.1,7.2
ABCD3,pass,931,242,3.85,220,4.23,5.97
