####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-10 16:35:03
## Sample: 1820
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
AC005632.1,low_depth,1,1,1.0,1,1.0,0.0
AC005632.2,low_depth,5,3,1.67,3,1.67,2.0
AC005632.3,low_depth,22,21,1.05,21,1.05,2.0
AC005632.4,low_depth,1,1,1.0,1,1.0,0.0
AC005670.1,pass,15,2,7.5,2,7.5,14.0
AC005674.1,low_depth,8,3,2.67,3,2.67,3.5
AC005674.2,pass,116,21,5.52,21,5.52,8.92
AC005682.1,low_depth,6,6,1.0,6,1.0,0.0
AC005692.1,low_depth,1,1,1.0,1,1.0,0.0
AC005692.3,low_depth,5,5,1.0,5,1.0,0.0
AC005695.1,low_depth,4,4,1.0,4,1.0,0.0
AC005696.1,low_depth,2,1,2.0,1,2.0,2.0
AC005696.4,pass,92,16,5.75,14,6.57,12.14
AC005697.2,pass,33,10,3.3,10,3.3,8.67
AC005699.1,low_depth,2,2,1.0,2,1.0,0.0
AC005702.2,low_depth,9,6,1.5,6,1.5,2.5
AC005703.1,low_depth,1,1,1.0,1,1.0,0.0
AC005703.3,low_depth,1,1,1.0,1,1.0,0.0
AC005703.5,low_depth,4,3,1.33,3,1.33,2.0
AC005703.6,low_depth,5,3,1.67,3,1.67,3.0
AC005722.1,pass,86,41,2.1,40,2.15,8.67
AC005722.2,low_depth,5,5,1.0,5,1.0,0.0
AC005722.3,low_depth,1,1,1.0,1,1.0,0.0
AC005725.1,low_depth,4,4,1.0,4,1.0,0.0
AC005726.1,pass,262,66,3.97,61,4.3,7.28
AC005726.2,low_depth,1,1,1.0,1,1.0,0.0
AC005726.3,pass,258,92,2.8,90,2.87,10.88
AC005726.5,low_depth,1,1,1.0,1,1.0,0.0
AC005730.2,low_depth,2,2,1.0,2,1.0,0.0
AC005730.3,pass,17,5,3.4,5,3.4,13.0
AC005736.1,low_depth,20,12,1.67,12,1.67,2.6
AC005740.1,pass,54,10,5.4,10,5.4,12.0
AC005740.2,pass,13,8,1.62,6,2.17,8.0
AC005740.4,low_depth,2,2,1.0,2,1.0,0.0
