####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-02-01 07:02:40
## Sample: 7273
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
A1BG,pass,41,14,2.93,14,2.93,4.86
A1BG-AS1,pass,171,43,3.98,41,4.17,5.81
A1CF,low_depth,131,108,1.21,108,1.21,2.44
A2M,pass,233,71,3.28,69,3.38,4.42
A2M-AS1,pass,124,58,2.14,58,2.14,6.08
A2ML1,pass,1974,536,3.68,505,3.91,5.09
A2ML1-AS1,low_depth,1,1,1.0,1,1.0,0.0
A2ML1-AS2,low_depth,1,1,1.0,1,1.0,0.0
A2MP1,low_depth,4,4,1.0,4,1.0,0.0
A3GALT2,pass,19,7,2.71,7,2.71,4.0
A4GALT,pass,1057,287,3.68,264,4.0,5.26
A4GNT,low_depth,3,2,1.5,2,1.5,2.0
AA06,pass,18,5,3.6,5,3.6,7.5
AAAS,pass,3222,820,3.93,779,4.14,5.29
AACS,pass,4035,881,4.58,826,4.88,6.15
AACSP1,pass,263,85,3.09,78,3.37,4.85
AADAC,pass,21,9,2.33,9,2.33,4.0
AADACL2,low_depth,9,5,1.8,5,1.8,2.33
AADACL2-AS1,low_depth,1,1,1.0,1,1.0,0.0
AADACL3,pass,9,4,2.25,4,2.25,6.0
AADAT,pass,314,105,2.99,100,3.14,5.04
AAGAB,pass,3215,729,4.41,679,4.73,5.95
AAK1,pass,6923,1934,3.58,1838,3.77,5.01
AAMDC,pass,2998,830,3.61,794,3.78,5.01
AAMP,pass,49435,11250,4.39,10563,4.68,5.58
AANAT,pass,8,1,8.0,1,8.0,8.0
AAR2,pass,3120,771,4.05,727,4.29,5.31
AARD,pass,8,4,2.0,4,2.0,5.0
AARS,pass,5505,1321,4.17,1254,4.39,5.56
