####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-01-21 18:11:36
## Sample: 7270
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
A1BG,low_depth,2,2,1.0,2,1.0,0.0
A1BG-AS1,low_depth,3,3,1.0,3,1.0,0.0
A1CF,low_depth,180,114,1.58,113,1.59,2.97
A2M,pass,109,19,5.74,17,6.41,11.22
A2M-AS1,low_depth,55,54,1.02,54,1.02,2.0
A2ML1,pass,32,8,4.0,8,4.0,13.0
A2ML1-AS1,low_depth,1,1,1.0,1,1.0,0.0
A2MP1,low_depth,7,7,1.0,7,1.0,0.0
A3GALT2,pass,6,2,3.0,2,3.0,5.0
A4GALT,pass,45,12,3.75,11,4.09,12.33
AA06,low_depth,3,3,1.0,3,1.0,0.0
AAAS,pass,363,74,4.91,70,5.19,9.37
AACS,pass,77,30,2.57,26,2.96,6.67
AACSP1,low_depth,1,1,1.0,1,1.0,0.0
AADAC,low_depth,1,1,1.0,1,1.0,0.0
AADACL2,low_depth,2,2,1.0,2,1.0,0.0
AADACL3,low_depth,2,2,1.0,2,1.0,0.0
AADACL4,low_depth,6,4,1.5,4,1.5,3.0
AADAT,pass,21,11,1.91,11,1.91,11.0
AAGAB,pass,85,22,3.86,21,4.05,11.67
AAK1,pass,558,123,4.54,111,5.03,11.4
AAMDC,pass,851,116,7.34,109,7.81,10.64
AAMP,pass,25964,2581,10.06,2046,12.69,16.45
AAR2,pass,82,26,3.15,24,3.42,8.25
AARD,low_depth,8,8,1.0,8,1.0,0.0
AARS,pass,126,45,2.8,41,3.07,8.08
AARS2,low_depth,4,4,1.0,4,1.0,0.0
AARSD1,low_depth,6,4,1.5,4,1.5,3.0
AASDH,pass,52,15,3.47,14,3.71,10.5
AASDHPPT,pass,800,117,6.84,98,8.16,13.54
AASS,pass,36,11,3.27,11,3.27,9.33
AATBC,low_depth,7,7,1.0,7,1.0,0.0
AATF,pass,198,68,2.91,65,3.05,6.32
AATK,pass,347,52,6.67,37,9.38,13.92
ABALON,pass,55,9,6.11,9,6.11,8.67
ABAT,low_depth,28,18,1.56,18,1.56,3.0
ABCA1,pass,17982,1972,9.12,1605,11.2,14.45
ABCA10,low_depth,6,6,1.0,6,1.0,0.0
ABCA12,pass,79,34,2.32,34,2.32,4.46
ABCA13,pass,22,16,1.38,16,1.38,7.0
ABCA17P,low_depth,6,5,1.2,5,1.2,2.0
ABCA2,pass,82,59,1.39,57,1.44,5.17
ABCA3,low_depth,15,13,1.15,13,1.15,2.0
ABCA4,low_depth,10,8,1.25,8,1.25,3.0
ABCA5,pass,213,51,4.18,50,4.26,9.58
ABCA6,pass,897,172,5.22,161,5.57,9.76
ABCA7,pass,60,34,1.76,33,1.82,4.38
ABCA8,pass,90,33,2.73,33,2.73,5.75
ABCA9,low_depth,31,20,1.55,20,1.55,2.83
ABCA9-AS1,low_depth,12,12,1.0,12,1.0,0.0
ABCB1,pass,972,241,4.03,217,4.48,6.14
ABCB10,low_depth,18,8,2.25,8,2.25,3.0
ABCB11,low_depth,10,8,1.25,8,1.25,3.0
ABCB4,low_depth,31,23,1.35,23,1.35,2.6
ABCB5,low_depth,7,7,1.0,7,1.0,0.0
ABCB6,low_depth,4,4,1.0,4,1.0,0.0
ABCB7,pass,70,22,3.18,21,3.33,5.9
ABCB8,pass,50,25,2.0,25,2.0,9.33
ABCB9,pass,77,44,1.75,44,1.75,5.71
ABCC1,pass,513,96,5.34,86,5.97,13.56
ABCC10,pass,228,41,5.56,39,5.85,10.95
ABCC11,pass,255,29,8.79,26,9.81,17.36
ABCC12,pass,365,82,4.45,74,4.93,7.77
ABCC13,pass,37,23,1.61,21,1.76,9.0
ABCC2,pass,77,62,1.24,61,1.26,4.2
ABCC3,pass,103,34,3.03,32,3.22,9.88
ABCC4,pass,77,20,3.85,18,4.28,8.38
ABCC5,pass,2059,310,6.64,263,7.83,11.32
ABCC5-AS1,low_depth,1,1,1.0,1,1.0,0.0
ABCC6,pass,281,49,5.73,42,6.69,12.38
ABCC6P1,low_depth,5,5,1.0,5,1.0,0.0
ABCC8,low_depth,38,34,1.12,34,1.12,3.0
ABCC9,pass,534,73,7.32,62,8.61,15.75
ABCD1,pass,336,70,4.8,68,4.94,10.24
ABCD1P2,low_depth,19,18,1.06,18,1.06,2.0
ABCD1P3,low_depth,1,1,1.0,1,1.0,0.0
ABCD2,pass,48,24,2.0,24,2.0,4.0
ABCD3,pass,289,60,4.82,51,5.67,10.92
ABCD4,low_depth,23,20,1.15,20,1.15,2.0
ABCE1,pass,503,98,5.13,90,5.59,10.83
ABCF1,pass,664,165,4.02,155,4.28,7.36
ABCF2,pass,254,44,5.77,44,5.77,11.5
ABCF2P1,low_depth,4,3,1.33,3,1.33,2.0
ABCF3,pass,178,33,5.39,30,5.93,11.57
ABCG1,pass,105,31,3.39,30,3.5,13.5
ABCG2,pass,682,91,7.49,83,8.22,11.89
ABCG4,pass,33,20,1.65,20,1.65,7.5
ABCG5,low_depth,2,2,1.0,2,1.0,0.0
ABCG8,low_depth,37,28,1.32,28,1.32,2.8
ABHD1,pass,67,26,2.58,25,2.68,7.0
ABHD10,pass,24,13,1.85,12,2.0,5.0
ABHD11,low_depth,32,22,1.45,22,1.45,2.67
ABHD11-AS1,low_depth,14,7,2.0,6,2.33,3.67
ABHD12,pass,1395,323,4.32,301,4.63,9.89
ABHD12B,pass,37,11,3.36,10,3.7,14.5
ABHD13,pass,260,44,5.91,37,7.03,13.39
ABHD14A,pass,228,34,6.71,25,9.12,12.28
ABHD14A-ACY1,low_depth,2,2,1.0,2,1.0,0.0
ABHD14B,pass,8,3,2.67,3,2.67,6.0
ABHD15,pass,19,8,2.38,8,2.38,4.67
ABHD15-AS1,low_depth,2,2,1.0,2,1.0,0.0
ABHD16A,pass,11,5,2.2,5,2.2,7.0
ABHD16B,low_depth,3,3,1.0,3,1.0,0.0
ABHD17A,low_depth,106,65,1.63,65,1.63,2.41
ABHD17AP1,pass,6,4,1.5,3,2.0,4.0
ABHD17AP3,low_depth,19,17,1.12,17,1.12,2.0
ABHD17AP6,low_depth,15,13,1.15,13,1.15,2.0
ABHD17AP7,low_depth,6,6,1.0,6,1.0,0.0
ABHD17B,pass,358,81,4.42,75,4.77,9.32
ABHD17C,pass,3497,397,8.81,326,10.73,14.21
ABHD18,pass,1892,215,8.8,182,10.4,13.13
ABHD2,pass,10054,953,10.55,752,13.37,17.7
ABHD3,pass,370,57,6.49,47,7.87,15.04
ABHD4,pass,3073,367,8.37,303,10.14,14.71
ABHD5,pass,2025,224,9.04,178,11.38,14.48
ABHD6,pass,204,37,5.51,33,6.18,8.43
ABHD8,pass,23,7,3.29,5,4.6,19.0
ABI1,pass,7675,1171,6.55,1025,7.49,10.6
ABI1P1,pass,7,4,1.75,4,1.75,4.0
ABI2,pass,255,68,3.75,66,3.86,10.0
ABI3,pass,538,145,3.71,134,4.01,5.93
ABI3BP,pass,12980,2982,4.35,2738,4.74,6.29
ABL1,pass,1452,214,6.79,191,7.6,11.6
ABL2,pass,1206,171,7.05,150,8.04,12.87
ABLIM1,pass,194,56,3.46,55,3.53,9.69
ABLIM2,pass,56,19,2.95,19,2.95,7.17
ABLIM3,pass,399,93,4.29,82,4.87,14.78
ABO,low_depth,7,7,1.0,7,1.0,0.0
ABR,pass,1650,238,6.93,204,8.09,11.95
ABRA,low_depth,1,1,1.0,1,1.0,0.0
ABRACL,pass,3774,1023,3.69,970,3.89,5.66
ABRAXAS1,pass,264,129,2.05,126,2.1,4.37
ABRAXAS2,pass,1457,186,7.83,166,8.78,12.13
ABT1,pass,16,9,1.78,9,1.78,8.0
ABTB1,pass,110,29,3.79,27,4.07,9.3
ABTB2,pass,503,62,8.11,51,9.86,13.91
AC000035.1,low_depth,2,2,1.0,2,1.0,0.0
AC000036.1,low_depth,8,8,1.0,8,1.0,0.0
